,Educational Level,Immigration Status,Gender,Age,str,Name
0,College level,"{'Origin': 'USA-New York City', 'Destination': 'France-Paris', 'Domestic Migration': 0, 'International Migration': 1}",Female,82,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-New York City"",
    ""Destination"": ""France-Paris"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Female"",
  ""Age"": ""82""
}",betty-parsons
1,Master level,"{'Origin': 'USA-Chicago', 'Destination': 'France-Paris', 'Domestic Migration': 0, 'International Migration': 1}",Female,67,"{
  ""Educational Level"": ""Master level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Chicago"",
    ""Destination"": ""France-Paris"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Female"",
  ""Age"": ""67""
}",joan-mitchell
2,College level,"{'Origin': 'USA-Syracuse', 'Destination': 'USA-New York', 'Domestic Migration': 0, 'International Migration': 0}",Male,92,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Syracuse"",
    ""Destination"": ""USA-New York"",
    ""Domestic Migration"": 0,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""92""
}",robert-goodnough
3,College level,"{'Origin': 'USA-Port Arthur', 'Destination': 'USA-New York City', 'Domestic Migration': 1, 'International Migration': 0}",Male,82,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Port Arthur"",
    ""Destination"": ""USA-New York City"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""82""
}",robert-rauschenberg
4,College level,"{'Origin': 'Spain-Turégano', 'Destination': 'USA-New York City', 'Domestic Migration': 0, 'International Migration': 1}",Male,97,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Spain-Turégano"",
    ""Destination"": ""USA-New York City"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""97""
}",esteban-vicente
5,High school level,"{'Origin': 'Canada-Vancouver', 'Destination': 'Canada-Toronto', 'Domestic Migration': 1, 'International Migration': 0}",Male,75,"{
  ""Educational Level"": ""High school level"",
  ""Immigration Status"": {
    ""Origin"": ""Canada-Vancouver"",
    ""Destination"": ""Canada-Toronto"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""75""
}",kazuo-nakamura
6,College level,"{'Origin': 'UK-Leamington Spa', 'Destination': 'UK-Birmingham, UK-St. Ives, UK-Leeds, UK-Banbury', 'Domestic Migration': 1, 'International Migration': 0}",Male,87,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""UK-Leamington Spa"",
    ""Destination"": ""UK-Birmingham, UK-St. Ives, UK-Leeds, UK-Banbury"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""87""
}",terry-frost
7,College level,"{'Origin': 'Scotland-Greenock', 'Destination': 'Northern Ireland-Enniskillen', 'Domestic Migration': 1, 'International Migration': 0}",Male,76,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Scotland-Greenock"",
    ""Destination"": ""Northern Ireland-Enniskillen"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""76""
}",william-scott
8,Master level,"{'Origin': 'Russian Empire-Riga', 'Destination': 'United States-New York City', 'Domestic Migration': 0, 'International Migration': 1}",Male,83,"{
  ""Educational Level"": ""Master level"",
  ""Immigration Status"": {
    ""Origin"": ""Russian Empire-Riga"",
    ""Destination"": ""United States-New York City"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""83""
}",adja-yunkers
9,Master level,"{'Origin': 'USA-New York City', 'Destination': 'USA-Hoboken', 'Domestic Migration': 1, 'International Migration': 0}",Not specified,93,"{
  ""Educational Level"": ""Master level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-New York City"",
    ""Destination"": ""USA-Hoboken"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Not specified"",
  ""Age"": ""93""
}",nicolas-carone
