name,url_name,Birth Date,Death Date,Birth place,Death place,Nationality,Art Movement,Genre,Field,Influenced by,Influenced on,Wikipedia,Painting School,Official site,Friends and Co-workers,Family and Relatives,Pupils,Teachers,Art institution
Thomas Fearnley,en/thomas-fearnley,"December 27, 1802","January 16, 1842",Norway,,,,,,,,https://en.wikipedia.org/wiki/Thomas_Fearnley,,,,,,,
"Olusola David, Ayibiowu",en/olusola-david-ayibiowu,24-Jan-74,,Nigeria,,,,,,,,https://en.wikipedia.org/wiki/Nigerian_National_Museum,,www.casfoundation.org.ng,,,,,
Goran Despotovski,en/goran-despotovski,13-Aug-72,,Serbia,,,,,,,,http://www.gorandespotovski.com/,,www.gorandespotovski.com,,,,,
Chaim Goldberg,en/chaim-goldberg,20-Mar-17,,Poland,,,,,,,,https://en.wikipedia.org/wiki/Chaim_Goldberg,,chaimgoldberg.com,,,,,
Ancient Greek Pottery,ancient-greek-pottery,c.900 BC,31 BC,,,Greeks|Italians|Turkish|Bulgarians|Macedonians|Serbians|Croatians,Geometric Period (c.900 - c.700 BC)|Archaic Period (700-480 BC)|Classical Period (480 - 323 BC),design,painting|design,Ancient Greek Painting and Sculpture|Ancient Egypt,Ancient Greek Painting and Sculpture,https://en.wikipedia.org/wiki/Pottery_of_ancient_Greece,,,,,,,
Apelles,apelles,c.370 BC,,"Menderes, Turkey",,Greek,Classical Period (480 - 323 BC)|Hellenistic Period (323-31 BC),,painting,Ancient Greek Painting and Sculpture,Ancient Greek Painting and Sculpture,https://en.wikipedia.org/wiki/Apelles,Heptanese (Ionian) School|Sicyonian school,,,,,,
Fayum portrait,fayum-portrait,c.50,c.250,Egypt,Egypt,Egyptians,Roman Period (30 BC - 640 AD)|Coptic art,portrait,painting,Ancient Greek Painting and Sculpture|Ancient Egypt,Orthodox Icons|Byzantine Art,https://en.wikipedia.org/wiki/Fayum_mummy_portraits,,,,,,,
Teddy Cobeña,teddy-cobena,16-Apr-73,,Ecuador,,Spanish|Ecuadorian,Expressionism|Surrealism|Contemporary|Neo-Surrealism,,sculpture,,,https://en.wikipedia.org/wiki/Teddy_Cobe%C3%B1a,,www.teddycobena.eu,,,,,
Thiago Boecan,thiago-boecan,24-Aug-95,,Brazil,,Brazilian,Neo-Figurative Art|Abstract Art,figurative|abstract,painting|drawing|printmaking|sculpture|illustration|engraving|collage|design,,,,,,,,,,
Edward Burne-Jones,edward-burne-jones,"August 28, 1833","June 17, 1898","Birmingham, United Kingdom","Fulham, United Kingdom",British,Romanticism|Aestheticism|Arts and Crafts,,painting|drawing|design|lithography|tapestry|architecture|printmaking,,Walter Crane|Evelyn De Morgan,https://en.wikipedia.org/wiki/Edward_Burne-Jones,Pre-Raphaelite Brotherhood,,Ford Madox Brown|Simeon Solomon,Edward Poynter,,,
Orthodox Icons,orthodox-icons,c.330,,,,Greeks|Turkish|Bulgarians|Ukrainians|Serbians|Russians|Romanians|Ethiopians|Egyptians,Byzantine Art|Coptic art,icon|religious painting,painting,Byzantine Mosaics|Fayum portrait,Andrei Rublev|Mykhailo Boychuk|El Greco|Yov Kondzelevych|Viktor Vasnetsov|Mikhail Nesterov,,,,,,,,
Byzantine Mosaics,byzantine-mosaics,c.330,c.1453,,,Greeks|Turkish|Bulgarians|Ukrainians|Italians,Byzantine Art,portrait|religious painting,mosaic,,Orthodox Icons|Proto Renaissance|Venetian School,,,,,,,,
Ende,ende,975,,,,Spanish,Pre-Romanesque Art,,,,,https://en.wikipedia.org/wiki/Ende_(artist),,,,,,,
Facundus,facundus,1050,,,,Spanish,Romanesque Art,miniature,illustration,,,,,,,,,,
Cimabue,cimabue,c.1251,1302,"Florence, Italy","Pisa, Italy",Italian,Proto Renaissance,,painting|mosaic,,,https://en.wikipedia.org/wiki/Cimabue,Florentine School,,,,Giotto,,
Andrei Rublev,andrei-rublev,c.1360,c.1430,,"Moscow, Russian Federation",Russians,Byzantine Art,religious painting|icon,painting,Orthodox Icons,,https://en.wikipedia.org/wiki/Andrei_Rublev,,,,,,,
Mikhail Vrubel,mikhail-vrubel,"March 17, 1856",14-Apr-10,"Omsk, Russian Federation","Saint Petersburg, Russian Federation",Russian,Symbolism,,painting,Sir Lawrence Alma-Tadema|Giovanni Bellini|Byzantine Art|Early Renaissance|Orthodox Icons,Vsevolod Maksymovych,https://en.wikipedia.org/wiki/Mikhail_Vrubel,Mir Iskusstva (World of Art),,Mykola Murashko|Valentin Serov|Konstantin Korovin,,,Ilya Repin,"Imperial Academy of Arts, Saint Petersburg, Russia|Stroganov Moscow State Academy of Arts and Industry, Moscow, Russia"
Nicholas Roerich,nicholas-roerich,"October 9, 1874",13-Dec-47,"Saint Petersburg, Russian Federation","Punjab, India",Russian,Symbolism,,painting,,Sirak Skitnik,https://en.wikipedia.org/wiki/Nicholas_Roerich,Mir Iskusstva (World of Art),,,,,,"Imperial Academy of Arts, Saint Petersburg, Russia"
Yiannis Tsaroychis,yiannis-tsaroychis,1910,1989,"Peiraiá / Peiraeus / Piraeus / Le Pirée / Peiraiéfs / Pireo, Greece","athens, Greece",Greek,Realism|Expressionism,,painting|design,,,https://en.wikipedia.org/wiki/Yannis_Tsarouchis,Armos,,,,,,
Marin Gherasim,marin-gherasim,1937,"March, 2017","Rădăuți, Bucovina, Romania","Bucharest, Romania",Romanian,Neo-Orthodoxism,,painting|art theory,,,https://ro.wikipedia.org/wiki/Marin_Gherasim,9+1,,,,,,
Jerzy Nowosielski,jerzy-nowosielski,7-Jan-23,21-Feb-11,Poland,Poland,Polish,Post-Painterly Abstraction,abstract|religious painting,painting|illustration,Byzantine Art,Leon Tarasewicz,https://en.wikipedia.org/wiki/Jerzy_Nowosielski,,,,,,,
Romanesque Architecture,romanesque-architecture,c.1000,c.1250,,,French|Germans|British|Italians|Spanish|Portuguese|Polish,Romanesque Art,architecture,architecture,,,https://en.wikipedia.org/wiki/Romanesque_architecture,,,,,,,
Hildegard of Bingen,hildegard-of-bingen,1098,"September 17, 1179",,,German,Romanesque Art,miniature,illustration,,,https://en.wikipedia.org/wiki/Hildegard_of_Bingen,,,,,,,
Herrad of Landsberg,herrad-of-landsberg,c.1130,1195,,,French|German,Romanesque Art,miniature,illustration,,,https://en.wikipedia.org/wiki/Herrad_of_Landsberg,,,,,,,
Alberto Sotio,alberto-sotio,1187,,,,Italian,Romanesque Art,religious painting,painting|illustration,,,https://en.wikipedia.org/wiki/Alberto_Sotio,Spoleto School,,,,,,
Claricia,claricia,1200,,,,German,Romanesque Art,miniature,illustration,,,https://en.wikipedia.org/wiki/Claricia,,,,,,,
Bartolomeo Pinelli,bartolomeo-pinelli,"November 20, 1781","April 1, 1835","Rome, Italy","Rome, Italy",Italian,Romanticism,genre painting,engraving|painting,,,https://en.wikipedia.org/wiki/Bartolomeo_Pinelli,,,,Achille Pinelli,,,
Evelyn De Morgan,evelyn-de-morgan,"August 30, 1855",2-May-19,"London, United Kingdom, United Kingdom","London, United Kingdom, United Kingdom",British,Symbolism|Romanticism,religious painting|mythological painting,painting,Edward Burne-Jones|Sandro Botticelli,,https://en.wikipedia.org/wiki/Evelyn_De_Morgan,Pre-Raphaelite Brotherhood,,,,,,
Nicholas of Verdun,nicholas-of-verdun,c.1130,c.1230,,,French,Romanesque Art,,goldsmith|enamel,,,https://en.wikipedia.org/wiki/Nicholas_of_Verdun,Mosan school,,,,,,
Master Francke,master-francke,c.1380,,Germany,,German,Gothic Art,religious painting,,,,https://en.wikipedia.org/wiki/Master_Francke,,,,,,,
Limbourg brothers,limbourg-brothers,c.1385,c.1416,,,Dutch,Gothic Art,miniature,illustration,,,https://en.wikipedia.org/wiki/Limbourg_brothers,,,,,,,
Bartolome Bermejo,bartolome-bermejo,c.1440,c.1501,"Córdoba, Spain",,Spanish,Gothic Art,,painting,,,https://en.wikipedia.org/wiki/Bartolom%C3%A9_Bermejo,,,,,,,
Álvaro Pires de Évora,alvaro-pires-de-evora,c.1390,c.1450,Portugal,Italy,Portuguese,Early Renaissance|Northern Renaissance|Gothic Art,religious painting,painting,,,https://en.wikipedia.org/wiki/%C3%81lvaro_Pires_de_%C3%89vora,Florentine School,,,,,,
Simone Martini,simone-martini,1284,1344,"Siena, Italy","Avignon, France",Italian,Gothic Art,religious painting,painting|fresco,,Ambrogio Lorenzetti|Pietro Lorenzetti,https://en.wikipedia.org/wiki/Simone_Martini,Sienese School,,,,,,
Ambrogio Lorenzetti,ambrogio-lorenzetti,c.1290,"June 9, 1348","Siena, Italy","Siena, Italy",Italian,Proto Renaissance|Gothic Art,allegorical painting,painting,Simone Martini|Duccio|Giotto|Byzantine Art|Florentine School,Dante Gabriel Rossetti|William Holman Hunt|John Everett Millais|Early Renaissance|Pre-Raphaelite Brotherhood,https://en.wikipedia.org/wiki/Ambrogio_Lorenzetti,Sienese School,,,Pietro Lorenzetti,Luca di Tommé,,
Pietro Lorenzetti,pietro-lorenzetti,c.1280,1348,"Siena, Italy","Siena, Italy",Italian,Gothic Art|Proto Renaissance,religious painting,painting,Duccio|Giotto|Simone Martini|Florentine School,,https://en.wikipedia.org/wiki/Pietro_Lorenzetti,Sienese School,,,Ambrogio Lorenzetti,Luca di Tommé,,
Gentile da Fabriano,gentile-da-fabriano,c.1370,1427,"Fabriano, Italy","Rome, Italy",Italian,Gothic Art,religious painting,painting,,,https://en.wikipedia.org/wiki/Gentile_da_Fabriano,Lombard School,,,,,,
Melchior Broederlam,melchior-broederlam,c.1350,c.1409,"Ypres, Belgium","Ypres, Belgium",Flemish,Gothic Art,religious painting,painting,,,https://en.wikipedia.org/wiki/Melchior_Broederlam,Flemish School,,,,,,
