url,Create Date,Create Location,Date,image_url,Style,Theme,Genre,Media,Location,tags,Series,Period
https://www.wikiart.org/en/ancient-greek-pottery/attic-middle-geometric-amphora-from-kerameikos--800,800 BC,,800 BC,https://uploads6.wikiart.org/00238/images/ancient-greek-pottery/attic-middle-geometric-amphora-from-kerameikos-800.jpg!Large.jpg,Geometric,Amphora,ornament|utensil,terracotta,"National Archaeological Museum, Athens, Greece",Vase|Ceramic|Pottery,,
https://www.wikiart.org/en/ancient-greek-pottery/attic-late-geometric-amphora-from-athens-by-the-dipylon-painter--750,750 BC,,750 BC,https://uploads5.wikiart.org/00238/images/ancient-greek-pottery/attic-late-geometric-amphora-from-athens-by-the-dipylon-painter-750.jpg!Large.jpg,Geometric,Amphora,ornament|utensil,terracotta,"National Archaeological Museum, Athens, Greece",Vase|Pottery|Urn|Ceramic,,
https://www.wikiart.org/en/ancient-greek-pottery/attic-late-geometric-pyxis-with-four-horses-on-the-lid-from-kerameikos--735,735 BC,,735 BC,https://uploads3.wikiart.org/00238/images/ancient-greek-pottery/attic-late-geometric-pyxis-with-four-horses-on-the-lid-from-kerameikos-735.jpg!Large.jpg,Geometric,Pyxis,ornament|utensil,terracotta,"National Archaeological Museum, Athens, Greece",,Relief and plastic,
https://www.wikiart.org/en/ancient-greek-pottery/hirschfeld-krater--735,735 BC,,735 BC,https://uploads4.wikiart.org/00238/images/ancient-greek-pottery/hirschfeld-krater-735.jpg!Large.jpg,Geometric,Krater,genre painting|utensil,terracotta,"Metropolitan Museum of Art (Met), New York City, NY, US",Tonbak|Ceramic,Black-figure,
https://www.wikiart.org/en/ancient-greek-pottery/attic-geometric-trefoil-mouth-oinochoe-from-athens--725,725 BC,,725 BC,https://uploads1.wikiart.org/00238/images/ancient-greek-pottery/attic-geometric-trefoil-mouth-oinochoe-from-athens-725.jpg!Large.jpg,Geometric,Oinochoe,ornament|utensil,terracotta,"National Archaeological Museum, Athens, Greece",Pottery|Vase|Ceramic|Serveware|Jug,,
https://www.wikiart.org/en/ancient-greek-pottery/bronze-hydria-water-jar--600,600 BC,,600 BC,https://uploads1.wikiart.org/00238/images/ancient-greek-pottery/bronze-hydria-water-jar-600.jpg!Large.jpg,Archaic,Hydria,utensil,bronze,"Metropolitan Museum of Art (Met), New York City, NY, US",Urn|Vase|Jade|Pottery|Ceramic,,
https://www.wikiart.org/en/ancient-greek-pottery/terracotta-aryballos-in-the-form-of-an-eagles-head--600,600 BC,,600 BC,https://uploads2.wikiart.org/00238/images/ancient-greek-pottery/terracotta-aryballos-in-the-form-of-an-eagle-s-head-600.jpg!Large.jpg,Archaic,Aryballos,animal painting|utensil,terracotta,"Metropolitan Museum of Art (Met), New York City, NY, US",,Relief and plastic,
https://www.wikiart.org/en/ancient-greek-pottery/terracotta-neck-amphora-storage-jar--590,590 BC,,590 BC,https://uploads4.wikiart.org/00238/images/ancient-greek-pottery/terracotta-neck-amphora-storage-jar-590.jpg!Large.jpg,Archaic,Amphora,animal painting|utensil,terracotta,"Metropolitan Museum of Art (Met), New York City, NY, US",Vase|Ceramic|Pottery|Urn|Serveware,Black-figure,
https://www.wikiart.org/en/ancient-greek-pottery/terracotta-kylix-siana-cup-drinking-cup--575,575 BC,,575 BC,https://uploads8.wikiart.org/00238/images/ancient-greek-pottery/terracotta-kylix-siana-cup-drinking-cup-575.jpg!Large.jpg,Archaic,Kylix,mythological painting|utensil,terracotta,"Metropolitan Museum of Art (Met), New York City, NY, US",Serveware|Dishware|Tableware|Dinnerware set,Black-figure,
https://www.wikiart.org/en/ancient-greek-pottery/terracotta-aryballos-in-the-form-of-a-helmeted-head--575,575 BC,,575 BC,https://uploads2.wikiart.org/00238/images/ancient-greek-pottery/terracotta-aryballos-in-the-form-of-a-helmeted-head-575.jpg!Large.jpg,Archaic,Aryballos,portrait|utensil,terracotta,"Metropolitan Museum of Art (Met), New York City, NY, US",Ceramic|Vase|Pottery,Relief and plastic,
https://www.wikiart.org/en/ancient-greek-pottery/terracotta-neck-amphora-jar--550,550 BC,,550 BC,https://uploads5.wikiart.org/00238/images/ancient-greek-pottery/terracotta-neck-amphora-jar-550.jpg!Large.jpg,Archaic,Amphora,mythological painting|utensil,terracotta,"Metropolitan Museum of Art (Met), New York City, NY, US",Vase|Ceramic|Pottery|Urn|Serveware|Drinkware|Tableware,Red-figure,
https://www.wikiart.org/en/ancient-greek-pottery/bronze-oinochoe--550,550 BC,,550 BC,https://uploads2.wikiart.org/00238/images/ancient-greek-pottery/bronze-oinochoe-550.jpg!Large.jpg,Archaic,Oinochoe,utensil,bronze,"Metropolitan Museum of Art (Met), New York City, NY, US",Pottery|Ceramic|Serveware|Urn|Pitcher|Vase,,
https://www.wikiart.org/en/ancient-greek-pottery/terracotta-kylix-drinking-cup--550,550 BC,,550 BC,https://uploads7.wikiart.org/00238/images/ancient-greek-pottery/terracotta-kylix-drinking-cup-550.jpg!Large.jpg,Archaic,Kylix,mythological painting|utensil,terracotta,"Metropolitan Museum of Art (Met), New York City, NY, US",Serveware|Tableware,Black-figure,
https://www.wikiart.org/en/ancient-greek-pottery/dionysus-cup-by-exekias--530,530 BC,,530 BC,https://uploads1.wikiart.org/00238/images/ancient-greek-pottery/dionysus-cup-by-exek-as-530.jpg!Large.jpg,Archaic,Kylix,mythological painting|utensil,terracotta,,Orange|Ceramic,Black-figure,
https://www.wikiart.org/en/ancient-greek-pottery/exekias-amphora-achilles-and-ajax-engaged-in-a-game--530,530 BC,,530 BC,https://uploads4.wikiart.org/00238/images/ancient-greek-pottery/exekias-amphora-achilles-and-ajax-engaged-in-a-game-530.jpeg!Large.jpeg,Archaic,Amphora,mythological painting|utensil,terracotta,"Vatican Museums, Vatican",Vase|Pottery|Ceramic|Serveware|Jug|Urn|Drinkware|Tableware,Black-figure,
