url,Create Date,Create Location,Date,image_url,Style,Genre,tags,Location,Media,Series,Period,Theme
https://www.wikiart.org/en/jacopo-bassano/the-crucifixion-1575,1575,,1575,https://uploads6.wikiart.org/images/jacopo-bassano/the-crucifixion-1575.jpg!Large.jpg,Mannerism (Late Renaissance),religious painting,Religious item|Mythology,,,,,
https://www.wikiart.org/en/jacopo-bassano/portrait-of-a-man-1576,1576,,1576,https://uploads8.wikiart.org/images/jacopo-bassano/portrait-of-a-man-1576.jpg!Large.jpg,Mannerism (Late Renaissance),portrait,Facial hair|Beard|Rabbi|Gentleman|Elder,,,,,
https://www.wikiart.org/en/jacopo-bassano/study-of-a-seated-bishop-reading-a-book-on-his-lap-1578,1578,,1578,https://uploads5.wikiart.org/images/jacopo-bassano/study-of-a-seated-bishop-reading-a-book-on-his-lap-1578.jpg!Large.jpg,Mannerism (Late Renaissance),sketch and study,Sketch|Figure drawing,,,,,
https://www.wikiart.org/en/jacopo-bassano/three-martyr-saints-1578,1578,,1578,https://uploads1.wikiart.org/images/jacopo-bassano/three-martyr-saints-1578.jpg!Large.jpg,Mannerism (Late Renaissance),religious painting,Prophet,,,,,
https://www.wikiart.org/en/jacopo-bassano/mater-dolorosa-1580,1580,,1580,https://uploads5.wikiart.org/images/jacopo-bassano/mater-dolorosa-1580.jpg!Large.jpg,Mannerism (Late Renaissance),religious painting,Abbess|Prophet,,,,,
https://www.wikiart.org/en/jacopo-bassano/the-purification-of-the-temple-1580,1580,,1580,https://uploads3.wikiart.org/images/jacopo-bassano/the-purification-of-the-temple-1580.jpg!Large.jpg,Mannerism (Late Renaissance),religious painting,,,,,,
https://www.wikiart.org/en/jacopo-bassano/the-sacrifice-of-noah-1580,1580,,1580,https://uploads3.wikiart.org/images/jacopo-bassano/the-sacrifice-of-noah-1580.jpg!Large.jpg,Mannerism (Late Renaissance),religious painting,,,,,,
https://www.wikiart.org/en/jacopo-bassano/the-forge-of-vulcan-1585,1585,,1585,https://uploads1.wikiart.org/images/jacopo-bassano/the-forge-of-vulcan-1585.jpg!Large.jpg,Mannerism (Late Renaissance),mythological painting,,,,,,
https://www.wikiart.org/en/jacopo-bassano/the-mocking-of-christ-1589,1589,,1589,https://uploads3.wikiart.org/images/jacopo-bassano/the-mocking-of-christ-1589.jpg!Large.jpg,Mannerism (Late Renaissance),religious painting,,,,,,
https://www.wikiart.org/en/jacopo-bassano/christ-crowned-with-thorns-1590,1590,,1590,https://uploads8.wikiart.org/images/jacopo-bassano/christ-crowned-with-thorns-1590.jpg!Large.jpg,Mannerism (Late Renaissance),religious painting,Darkness,,,,,
https://www.wikiart.org/en/jacopo-bassano/the-baptism-of-christ-1590,1590,,1590,https://uploads3.wikiart.org/images/jacopo-bassano/the-baptism-of-christ-1590.jpg!Large.jpg,Mannerism (Late Renaissance),religious painting,Religious item,,,,,
https://www.wikiart.org/en/jacopo-bassano/diana-and-actaeon-1592,1592,,1592,https://uploads8.wikiart.org/images/jacopo-bassano/diana-and-actaeon-1592.jpg!Large.jpg,Mannerism (Late Renaissance),mythological painting,Mythology,,,,,
https://www.wikiart.org/en/jacopo-bassano/banquet-scene-1600,,,,https://uploads4.wikiart.org/images/jacopo-bassano/banquet-scene-1600.jpg!Large.jpg,Mannerism (Late Renaissance),genre painting,,Private Collection,,,,
https://www.wikiart.org/en/jacopo-bassano/bust-length-study-of-a-bearded-man-with-cap-in-three-quarter-view,,,,https://uploads6.wikiart.org/images/jacopo-bassano/bust-length-study-of-a-bearded-man-with-cap-in-three-quarter-view.jpg!Large.jpg,Mannerism (Late Renaissance),sketch and study,Facial hair|Beard|Forehead|Chin,"Metropolitan Museum of Art (Met), New York City, NY, US",,,,
https://www.wikiart.org/en/jacopo-bassano/winter,,,,https://uploads1.wikiart.org/images/jacopo-bassano/winter.jpg!Large.jpg,Mannerism (Late Renaissance),genre painting,Mythology|Conquistador,Private Collection,,,,
https://www.wikiart.org/en/daniele-da-volterra/michelangelo-buonarroti-1544,1544,,1544,https://uploads1.wikiart.org/images/daniele-da-volterra/michelangelo-buonarroti-1544.jpg!Large.jpg,Mannerism (Late Renaissance),portrait,Facial hair|Beard,,,,,
https://www.wikiart.org/en/daniele-da-volterra/descent-from-the-cross-the-deposition-1545,1545,,1545,https://uploads6.wikiart.org/images/daniele-da-volterra/descent-from-the-cross-the-deposition-1545.jpg!Large.jpg,Mannerism (Late Renaissance),religious painting,Textile,,,,,
https://www.wikiart.org/en/daniele-da-volterra/madonna-with-child-young-saint-john-the-baptist-and-saint-barbara-1548,1548,,1548,https://uploads6.wikiart.org/images/daniele-da-volterra/madonna-with-child-young-saint-john-the-baptist-and-saint-barbara-1548.jpg,Mannerism (Late Renaissance),religious painting,Mythology,,,,,
https://www.wikiart.org/en/daniele-da-volterra/david-and-goliath-recto-1550,1550,,1550,https://uploads8.wikiart.org/00292/images/daniele-da-volterra/david-and-goliath-by-daniele-da-volterra-louvre-inv-566-recto-02-1.jpg!Large.jpg,Mannerism (Late Renaissance),religious painting,Mythology,"Louvre, Paris, France",oil,,,
https://www.wikiart.org/en/daniele-da-volterra/david-and-goliath-reverse-1550,1550,,c.1550; Italy|1550,https://uploads6.wikiart.org/00292/images/daniele-da-volterra/david-and-goliath-by-daniele-da-volterra-louvre-inv-566-verso-01.jpg!Large.jpg,Mannerism (Late Renaissance),religious painting,Picture frame,"Louvre, Paris, France",oil,,,
https://www.wikiart.org/en/daniele-da-volterra/portrait-of-a-young-man-1554,1554,,1554,https://uploads3.wikiart.org/00309/images/daniele-da-volterra/image052.jpg,Mannerism (Late Renaissance),portrait,Chin|Forehead,,oil,,,
https://www.wikiart.org/en/daniele-da-volterra/portrait-of-a-nobleman-1555,1555,,1555,https://uploads7.wikiart.org/00309/images/daniele-da-volterra/retrato-de-caballero.jpg!Large.jpg,Mannerism (Late Renaissance),portrait,,"Museo del Prado, Madrid, Spain",oil|panel|wood,,,
https://www.wikiart.org/en/daniele-da-volterra/moses-on-mount-sinai-1555,1555,,1555,https://uploads6.wikiart.org/images/daniele-da-volterra/moses-on-mount-sinai-1555.jpg,Mannerism (Late Renaissance),religious painting,Mythology,,,,,
https://www.wikiart.org/en/daniele-da-volterra/the-presentation-of-the-virgin-1555,1555,,1555,https://uploads8.wikiart.org/images/daniele-da-volterra/the-presentation-of-the-virgin-1555.jpg!Large.jpg,Mannerism (Late Renaissance),religious painting,Holy places,,,,,
https://www.wikiart.org/en/daniele-da-volterra/assumption-of-the-virgin-della-rovere-chapel-trinita-dei-monti,1555,,1555,https://uploads8.wikiart.org/images/daniele-da-volterra/assumption-of-the-virgin-della-rovere-chapel-trinita-dei-monti.jpg!Large.jpg,Mannerism (Late Renaissance),religious painting,Holy places,,,,,
https://www.wikiart.org/en/daniele-da-volterra/portrait-of-michelangelo-buonarroti,1555,,1555,https://uploads8.wikiart.org/images/daniele-da-volterra/portrait-of-michelangelo-buonarroti.jpg!Large.jpg,Mannerism (Late Renaissance),portrait|sketch and study,Face|Head|Forehead|Chin|Sketch|Facial hair,"Teylers Museum, Haarlem, Netherlands",,,,
https://www.wikiart.org/en/daniele-da-volterra/massacre-of-the-innocents-1557,1557,,1557,https://uploads3.wikiart.org/images/daniele-da-volterra/massacre-of-the-innocents-1557.jpg!Large.jpg,Mannerism (Late Renaissance),religious painting,Mythology|Middle ages,"Uffizi Gallery, Florence, Italy",,,,
https://www.wikiart.org/en/daniele-da-volterra/the-prophet-elias-1560,1560,,1560,https://uploads4.wikiart.org/images/daniele-da-volterra/the-prophet-elias-1560.jpg!Large.jpg,Mannerism (Late Renaissance),religious painting,Mythology|Human,,,,,
https://www.wikiart.org/en/carlo-urbino/ceiling-of-the-altar-chapel-in-the-cappella-di-santaquilino-in-the-basilica-di-san-lorenzo-maggiore-1540,1540,,1540,https://uploads4.wikiart.org/00319/images/carlo-urbino/1448-milano-s-lorenzo-cappella-s-aquilino-soffitto-foto-giovanni-dall-orto-18-may-2007.jpg!Large.jpg,Mannerism (Late Renaissance),religious painting,,,,,,
https://www.wikiart.org/en/carlo-urbino/a-cardinal-doctor-of-the-church-possibly-saint-jerome-detail-from-the-ceiling-of-the-altar-chapel-in-1540,1540,,1540,https://uploads3.wikiart.org/00319/images/carlo-urbino/1464-milano-s-lorenzo-cappella-s-aquilino-dottore-d-chiesa-foto-giovanni-dall-orto-18-may-2007.jpg!Large.jpg,Mannerism (Late Renaissance),religious painting,,,,,,
https://www.wikiart.org/en/carlo-urbino/john-the-evangelist-detail-from-the-ceiling-of-the-altar-chapel-in-the-cappella-di-santaquilino-in-1540,1540,,1540,https://uploads6.wikiart.org/00319/images/carlo-urbino/1465-milano-s-lorenzo-cappella-s-aquilino-s-giovanni-foto-giovanni-dall-orto-18-may-2007.jpg!Large.jpg,Mannerism (Late Renaissance),religious painting,,,,,,
https://www.wikiart.org/en/carlo-urbino/luke-the-evangelist-between-two-doctors-of-the-church-possibly-leo-the-great-and-saint-jerome-detail-1540,1540,,1540,https://uploads7.wikiart.org/00319/images/carlo-urbino/1466-milano-s-lorenzo-cappella-s-aquilino-s-luca-fra-2-dottori-d-chiesa-foto-dall-orto-18-may-2007.jpg!Large.jpg,Mannerism (Late Renaissance),religious painting,,,,,,
https://www.wikiart.org/en/carlo-urbino/luke-the-evangelist-detail-from-the-ceiling-of-the-altar-chapel-in-the-cappella-di-santaquilino-in-1540,1540,,1540,https://uploads2.wikiart.org/00319/images/carlo-urbino/1467-milano-s-lorenzo-cappella-s-aquilino-s-luca-foto-giovanni-dall-orto-18-may-2007.jpg!Large.jpg,Mannerism (Late Renaissance),religious painting,,,,,,
https://www.wikiart.org/en/carlo-urbino/a-pope-doctor-of-the-church-possibily-leo-the-great-detail-from-the-ceiling-of-the-altar-chapel-in-1540,1540,,1540,https://uploads8.wikiart.org/00319/images/carlo-urbino/1468-milano-s-lorenzo-cappella-s-aquilino-papa-dottore-d-chiesa-foto-dall-orto-18-may-2007.jpg!Large.jpg,Mannerism (Late Renaissance),religious painting,,,,,,
https://www.wikiart.org/en/carlo-urbino/mark-the-evangelist-detail-from-the-ceiling-of-the-altar-chapel-in-the-cappella-di-santaquilino-in-1540,1540,,1540,https://uploads3.wikiart.org/00319/images/carlo-urbino/1471-milano-s-lorenzo-cappella-s-aquilino-s-marco-foto-giovanni-dall-orto-18-may-2007.jpg!Large.jpg,Mannerism (Late Renaissance),religious painting,,,,,,
https://www.wikiart.org/en/carlo-urbino/matthew-the-evangelist-detail-from-the-ceiling-of-the-altar-chapel-in-the-cappella-di-santaquilino-1540,1540,,1540,https://uploads5.wikiart.org/00319/images/carlo-urbino/1474-milano-s-lorenzo-cappella-s-aquilino-s-matteo-fra-agostino-e-ambrogio-foto-dall-orto-18-may.jpg!Large.jpg,Mannerism (Late Renaissance),religious painting,,,,,,
https://www.wikiart.org/en/carlo-urbino/saint-ambrose-as-a-doctor-of-the-church-detail-from-the-ceiling-of-the-altar-chapel-in-the-cappella-1540,1540,,1540,https://uploads6.wikiart.org/00319/images/carlo-urbino/1475-milano-s-lorenzo-cappella-s-aquilino-s-ambrogio-foto-giovanni-dall-orto-18-may-2007.jpg!Large.jpg,Mannerism (Late Renaissance),religious painting,,,,,,
https://www.wikiart.org/en/carlo-urbino/saint-augustinus-as-a-doctor-of-the-church-detail-from-the-ceiling-of-the-altar-chapel-in-the-1540,1540,,1540,https://uploads6.wikiart.org/00319/images/carlo-urbino/1476-milano-s-lorenzo-cappella-s-aquilino-s-agostino-foto-giovanni-dall-orto-18-may-2007.jpg!Large.jpg,Mannerism (Late Renaissance),religious painting,,,,,,
https://www.wikiart.org/en/carlo-urbino/st-matthew-the-evangelist-between-augustinus-and-st-ambrose-1540,1540,,1540,https://uploads4.wikiart.org/00296/images/carlo-urbino/1473-milano-s-lorenzo-cappella-s-aquilino-s-matteo-fra-agostino-e-ambrogio-foto-dall-orto-18-may.jpg!Large.jpg,Mannerism (Late Renaissance),religious painting,Holy places|Byzantine architecture|Dome|Place of worship|Ceiling,,fresco,,,
https://www.wikiart.org/en/carlo-urbino/st-josephs-chapel-1540,1540,,1540,https://uploads8.wikiart.org/00295/images/carlo-urbino/8434-milano-san-marco-cappella-di-s-giuseppe-pentecoste-foto-giovanni-dall-orto-14-apr-2007.jpg!Large.jpg,Mannerism (Late Renaissance),religious painting|quadratura,Holy places|Ceiling|Dome|Symmetry|Byzantine architecture|Building,,fresco,,,
https://www.wikiart.org/en/carlo-urbino/codex-huygens-fol-33-1570,1570,,1570,https://uploads2.wikiart.org/00317/images/carlo-urbino/142017v-0033.jpg!Large.jpg,Mannerism (Late Renaissance),sketch and study,,,pen|laid paper|chalk|ink,,,
https://www.wikiart.org/en/carlo-urbino/codex-huygens-fol-6-1570,1570,,1570,https://uploads2.wikiart.org/00317/images/carlo-urbino/142017v-0006.jpg!Large.jpg,Mannerism (Late Renaissance),sketch and study,,,ink|pen|chalk|laid paper,Copy of Leonardo da Vinci's Codex Huygens,,
https://www.wikiart.org/en/carlo-urbino/codex-huygens-fol-3-1570,1570,,1570,https://uploads1.wikiart.org/00295/images/carlo-urbino/142017v-0003.jpg!Large.jpg,Mannerism (Late Renaissance),sketch and study,Text|Sketch|Human|Line,,laid paper|chalk|pen|ink,,,
https://www.wikiart.org/en/carlo-urbino/codex-huygens-fol-54-1570,1570,,1570,https://uploads1.wikiart.org/00295/images/carlo-urbino/142017v-0054.jpg!Large.jpg,Mannerism (Late Renaissance),sketch and study,Text,,ink|chalk|laid paper|pen,Copy of Leonardo da Vinci's Codex Huygens,,
https://www.wikiart.org/en/carlo-urbino/codex-huygens-fol-27-1570,1570,,1570,https://uploads1.wikiart.org/00295/images/carlo-urbino/142017v-0027.jpg!Large.jpg,Mannerism (Late Renaissance),sketch and study,Text|Human,,pen|chalk|laid paper|ink,,,
https://www.wikiart.org/en/carlo-urbino/codex-huygens-fol-14-1570,1570,,1570,https://uploads1.wikiart.org/00295/images/carlo-urbino/142017v-0014.jpg!Large.jpg,Mannerism (Late Renaissance),,Sketch,,pen|ink|chalk|laid paper,Copy of Leonardo da Vinci's Codex Huygens,,
https://www.wikiart.org/en/carlo-urbino/codex-huygens-fol-7-1570,1570,,1570,https://uploads1.wikiart.org/00295/images/carlo-urbino/142017v-0007.jpg!Large.jpg,Mannerism (Late Renaissance),sketch and study,Line,,chalk|laid paper|ink|pen,Copy of Leonardo da Vinci's Codex Huygens,,
https://www.wikiart.org/en/carlo-urbino/design-for-the-decoration-of-the-front-wall-of-a-chapel-1575,1575,,1575,https://uploads8.wikiart.org/00295/images/carlo-urbino/design-for-the-decoration-of-the-front-wall-of-a-chapel.jpg!Large.jpg,Mannerism (Late Renaissance),sketch and study,Sketch,"Museo del Prado, Madrid, Spain",ink|sanguine|pen|paper,,,
https://www.wikiart.org/en/carlo-urbino/venus-and-aeneas-1585,1585,,1585,https://uploads1.wikiart.org/00319/images/carlo-urbino/carlo-urbino-venere-ed-enea-sabbioneta.jpg!Large.jpg,Mannerism (Late Renaissance),mythological painting,,,,,,
