url,Create Date,Create Location,Style,image_url,Genre,tags,Date,Media,Location,Series,Theme,Period
https://www.wikiart.org/en/mary-cassatt/sara-with-her-dog,,,Impressionism,https://uploads1.wikiart.org/images/mary-cassatt/sara-with-her-dog.jpg!Large.jpg,portrait,animals|dogs|children portraits|Dog|Canidae|Morkie|Dog breed|Carnivore,,,,,,
https://www.wikiart.org/en/stefan-caltia/blue-bird-singer-2006,2006,,Magic Realism,https://uploads6.wikiart.org/images/stefan-caltia/blue-bird-singer-2006.jpg!Large.jpg,symbolic painting,Standing|Sky|Dress,2006,,,,,
https://www.wikiart.org/en/wlodzimierz-zakrzewski/utrecht-1978-73x92-1978,1978,,Realism,https://uploads4.wikiart.org/00153/images/wlodzimierz-zakrzewski/utrecht-1978-73x92.jpg!Large.jpg,cityscape,Tree|Natural landscape|Waterway|Water|Woody plant,1978,,,,,
https://www.wikiart.org/en/ivan-kramskoy/grand-duke-mikhail-pavlovich,,,Realism,https://uploads3.wikiart.org/images/ivan-kramskoy/grand-duke-mikhail-pavlovich.jpg,portrait,male-portraits|famous-people|Grand-Duke-Michael-Pavlovich-of-Russia,,,,,,
https://www.wikiart.org/en/zinaida-serebriakova/portrait-of-alexander-benois-1924,1924,,Expressionism,https://uploads7.wikiart.org/images/zinaida-serebriakova/portrait-of-alexander-benois-1924.jpg!Large.jpg,portrait,male-portraits|Face|Chin|Head|Skin|Nose|Forehead|Cheek|Ear,1924,,,,,
https://www.wikiart.org/en/richard-gerstl/self-portrait,1908,,Expressionism,https://uploads8.wikiart.org/images/richard-gerstl/self-portrait.jpg!Large.jpg,nude painting (nu),male-nude|self-portrait,1908,oil|canvas,"Leopold Museum, Vienna, Austria",,,
https://www.wikiart.org/en/eva-gonzales/afternoon-tea-aka-on-the-terrace,1875,,Impressionism,https://uploads7.wikiart.org/images/eva-gonzales/afternoon-tea-aka-on-the-terrace.jpg!Large.jpg,genre painting,female-portraits|gardens-and-parks|Lady,1875,oil|canvas,,,,
https://www.wikiart.org/en/amedeo-modigliani/portrait-of-a-young-girl-louise-1915,1915,Paris,Expressionism,https://uploads7.wikiart.org/images/amedeo-modigliani/portrait-of-a-young-girl-louise-1915.jpg!Large.jpg,portrait,female-portraits|Lady,"1915; Paris, France|1915|Paris",oil|cardboard,Private Collection,,,
https://www.wikiart.org/en/israel-tsvaygenbaum/the-angel-of-roses-2011,2011,,Magic Realism,https://uploads1.wikiart.org/00333/images/israel-tsvaygenbaum/israel-tsvaygenbaum-the-angel-of-roses.jpg!Large.jpg,symbolic painting,Love,2011; United States|2011,oil,,,,
https://www.wikiart.org/en/giuseppe-bruno/arch-near-the-capuchins-church-taormina-1889,1889,,Pictorialism,https://uploads4.wikiart.org/00331/images/giuseppe-bruno/bruno-giuseppe-1836-1904-n-067-arco-dei-p-cappuccini-taormina-da-wilhelm-von-plueschow-privat-case-n.jpg!Large.jpg,photo,,1889,photography,,,,
https://www.wikiart.org/en/henri-de-toulouse-lautrec/margot-1881,1881,,Impressionism,https://uploads8.wikiart.org/images/henri-de-toulouse-lautrec/margot-1881.jpg!Large.jpg,animal painting,animals|dogs|Canidae|Dog|Welsh terrier|Terrier,1881,oil|canvas,Private Collection,,,
https://www.wikiart.org/en/joseph-noel-sylvestre/the-sack-of-rome-in-410-by-the-vandals,1890,,Academicism,https://uploads1.wikiart.org/00295/images/joseph-noel-sylvestre/visigoths-sack-rome-1.jpg!Large.jpg,history painting,Mythology|Statue,1890; France|1890,oil,,,,
https://www.wikiart.org/en/luc-olivier-merson/projet-de-frontispice-pour-macbeth-2,,,Symbolism,https://uploads8.wikiart.org/images/luc-olivier-merson/projet-de-frontispice-pour-macbeth-2.jpg!Large.jpg,illustration,Text,,,,,,
https://www.wikiart.org/en/nasreddine-dinet/children-at-la-berrada-1894,1894,,Orientalism,https://uploads1.wikiart.org/00297/images/nasreddine-dinet/enfants-la-berrada-by-etienne-dinet.jpg!Large.jpg,genre painting,,1894,oil|canvas,,,,
https://www.wikiart.org/en/alexandre-antigna/rest-for-the-weary,,,Realism|Naturalism,https://uploads0.wikiart.org/00325/images/alexandre-antigna/99b056ad6e945b091106f06a4ae85567.jpg,genre painting,,,oil|canvas,,,,
https://www.wikiart.org/en/felix-vallotton/portrait-of-french-writer-victor-charbonnel-1898,1898,,Art Nouveau (Modern),https://uploads7.wikiart.org/images/felix-vallotton/portrait-of-french-writer-victor-charbonnel-1898.jpg,portrait,male-portraits|famous-people|Face|Head|Forehead,1898,,,Le Livre des masques,,
https://www.wikiart.org/en/berthe-morisot/daisies,1885,,Impressionism,https://uploads2.wikiart.org/images/berthe-morisot/daisies.jpg!Large.jpg,still life,flowers-and-plants|Still life photography|Flower|1880s paintings from France,1885,oil|canvas,,,,
https://www.wikiart.org/en/silvestro-lega/figure-of-woman-in-the-kitchen-1873,1873,,Realism,https://uploads0.wikiart.org/00365/images/silvestro-lega/lega-figura-di-donna-in-cucina.jpg!Large.jpg,genre painting,kitchens|1870s paintings from Italy,1873,oil|canvas,Private Collection,,,
https://www.wikiart.org/en/paul-signac/saint-briac-the-marker-le-cheval-1885,1885,,Neo-Impressionism,https://uploads2.wikiart.org/images/paul-signac/saint-briac-the-marker-le-cheval-1885.jpg!Large.jpg,landscape,boats-and-ships|seas-and-oceans|Bank|River,1885,oil|canvas,Private Collection,,,
https://www.wikiart.org/en/vladimir-kush/across-the-mountains-and-into-the-trees,,,,https://uploads4.wikiart.org/00172/images/vladimir-kush/arrival-of-the-flower-ship.jpg,,,,,,,,
https://www.wikiart.org/en/paul-serusier/bathers,1912,,Synthetism,https://uploads1.wikiart.org/images/paul-serusier/bathers.jpg!Large.jpg,genre painting,female-nude|bathing-and-swimming,c.1912; France|1912,oil|canvas,Private Collection,,,
https://www.wikiart.org/en/luc-tuymans/five-years-2004,2004,,New European Painting,https://uploads7.wikiart.org/images/luc-tuymans/five-years-2004.jpg!Large.jpg,figurative,,2004|2004; Belgium,oil|canvas,,,,
https://www.wikiart.org/en/jan-matejko/portrait-of-a-father,,,Romanticism,https://uploads3.wikiart.org/images/jan-matejko/portrait-of-a-father.jpg!Large.jpg,portrait,male-portraits|Chin|Gentleman,,,,,,
https://www.wikiart.org/en/marcel-janco/the-parade,,,Expressionism,https://uploads2.wikiart.org/images/marcel-janco/the-parade.jpg,genre painting,,,silkscreen,,,,
https://www.wikiart.org/en/eugene-delacroix/bouquet-of-flowers-1850,1850,,Romanticism,https://uploads5.wikiart.org/images/eugene-delacroix/bouquet-of-flowers-1850(1).jpg!Large.jpg,flower painting,flowers-and-plants|Bouquet|Flower|Still life photography|Plant|Cut flowers,1850,gouache|watercolor|paper,,,,
https://www.wikiart.org/en/henri-fantin-latour/self-portrait-1861-1,1861,,Realism,https://uploads1.wikiart.org/images/henri-fantin-latour/self-portrait-1861-1.jpg,self-portrait,Chin|Gentleman|Human,1861,oil|canvas,,,,
https://www.wikiart.org/en/camille-corot/landscape-at-mornex-haute-savoie-1842,1842,,Realism,https://uploads4.wikiart.org/images/camille-corot/landscape-at-mornex-haute-savoie-1842.jpg!Large.jpg,landscape,countryside|valleys-and-hollows|Rural area|Grassland|Pasture,1842,oil|canvas,Private Collection,,"French cityscapes, landscapes and seascapes",
https://www.wikiart.org/en/john-james-audubon/plate-121-snowy-owl,,,Naturalism,https://uploads0.wikiart.org/images/john-james-audubon/plate-121-snowy-owl.jpg!Large.jpg,illustration,Snowy owl|Bird|Owl|Barn owl|Bird of prey|Parrot|Parakeet|Budgie,,,,Birds of America 1827-1838,,
https://www.wikiart.org/en/vincent-van-gogh/field-with-poppies-1889,1889,,Post-Impressionism,https://uploads5.wikiart.org/images/vincent-van-gogh/field-with-poppies-1889(1).jpg!Large.jpg,landscape,fields-and-plains|manors-and-plantations|Tree,1889; France|1889,oil|canvas,"Kunsthalle Bremen, Bremen, Germany",,,
https://www.wikiart.org/en/john-singer-sargent/portrait-of-pauline-astor,1898,,Realism,https://uploads7.wikiart.org/images/john-singer-sargent/portrait-of-pauline-astor.jpg!Large.jpg,portrait,famous-people|female-portraits|Lady,1898,oil|canvas,Private Collection,,,
https://www.wikiart.org/en/konstantin-makovsky/landscape-2,1875,,Realism,https://uploads2.wikiart.org/images/konstantin-makovsky/landscape-2.jpg!Large.jpg,landscape,forests-and-trees|cliffs-and-rocks|Bank|Waterway|Tree|River,1875,,,,,
https://www.wikiart.org/en/william-adolphe-bouguereau/the-palm-leaf,1894,,Academicism,https://uploads2.wikiart.org/images/william-adolphe-bouguereau/the-palm-leaf.jpg!Large.jpg,portrait,female-portraits|Lady,1894,oil|canvas,Private Collection,,,
https://www.wikiart.org/en/adolf-hiremy-hirschl/portrait-of-the-artists-daughter-maud,,,Realism,https://uploads6.wikiart.org/00124/images/adolf-hiremy-hirschl/2qgy31u.jpg!Large.jpg,portrait,Face|Lady|Eyebrow|Head|Hairstyle|Sketch,,graphite,,,,
https://www.wikiart.org/en/maria-helena-vieira-da-silva/ripolin-the-tree-prisoner-1932,1932,,Surrealism|Expressionism,https://uploads2.wikiart.org/images/maria-helena-vieira-da-silva/ripolin-the-tree-prisoner-1932.jpg,figurative,,1932,,,,,
https://www.wikiart.org/en/hiroshige/yugasan-in-bizan-province,1858,,Ukiyo-e,https://uploads6.wikiart.org/images/hiroshige/yugasan-in-bizan-province.jpg!Large.jpg,landscape,winter|snow-and-blizzard|forests-and-trees|mountains,1858,,"Brooklyn Museum, New York City, NY, US",,,
https://www.wikiart.org/en/vajda-lajos/vajda-lajos-szuleo-formak-1939,,,,https://uploads7.wikiart.org/00389/images/vajda-lajos/vajda-lajos-sz-le-form-k-1939.JPG!Large.JPG,,,,,,,,
