url,Create Date,Create Location,Date,image_url,Style,Genre,Media,Location,tags,Series,Period,Theme
https://www.wikiart.org/en/camille-pissarro/the-haystack-pontoise-1873,1873,,1873,https://uploads5.wikiart.org/images/camille-pissarro/the-haystack-pontoise-1873.jpg!Large.jpg,Impressionism,landscape,oil|canvas,Private Collection,Hay|Grassland,,,
https://www.wikiart.org/en/red-grooms/mango-mango-1973,1973,,1973,https://uploads7.wikiart.org/images/red-grooms/mango-mango-1973.jpg!Large.jpg,Pop Art,genre painting,,,,,,
https://www.wikiart.org/en/martiros-sarian/portrait-of-karen-kamsarakan-1935,1935,,1935|1935; Armenia,https://uploads2.wikiart.org/images/martiros-saryan/portrait-of-karen-kamsarakan-1935.jpg!Large.jpg,Expressionism,portrait,oil|canvas,,male-portraits|Face|Chin|Head|Cheek|Forehead,,,
https://www.wikiart.org/en/juan-gris/still-life-with-oil-lamp-1912,1912,,1912,https://uploads1.wikiart.org/images/juan-gris/still-life-with-oil-lamp-1912.jpg!Large.jpg,Analytical Cubism,still life,oil|canvas,"Kröller-Müller Museum, Otterlo, Netherlands",Still life photography,,,
https://www.wikiart.org/en/ant-nio-de-carvalho-da-silva-porto/lugar-do-prado-santa-marta-minho-1892,1892,,1892,https://uploads6.wikiart.org/images/ant-nio-de-carvalho-da-silva-porto/lugar-do-prado-santa-marta-minho-1892.jpg,Realism,landscape,,,Natural landscape|Bank|Tree|Natural environment|Bayou,,,
https://www.wikiart.org/en/lino-tagliapietra/central-park,,,,https://uploads0.wikiart.org/images/lino-tagliapietra/central-park.jpg,Abstract Art,mosaic,,,,,,
https://www.wikiart.org/en/utagawa-kuniyoshi/women-25,,,,https://uploads6.wikiart.org/images/utagawa-kuniyoshi/women-25.jpg!Large.jpg,Ukiyo-e,portrait,,,female-portraits|Geisha|Fashion illustration,,,
https://www.wikiart.org/en/saul-steinberg/the-paris-review-1967,1967,,1967,https://uploads6.wikiart.org/images/saul-steinberg/the-paris-review-1967.jpg,Expressionism,animal painting,,,Cat|Felidae|Small to medium-sized cats|Snout,,,
https://www.wikiart.org/en/maurice-denis/the-road-to-calvary,1889,,1889,https://uploads4.wikiart.org/images/maurice-denis/the-road-to-calvary.jpg!Large.jpg,Post-Impressionism,religious painting,oil|canvas,,roads-and-vehicles|Shadow|1880s paintings from France,,,
https://www.wikiart.org/en/oleksandr-hnylyzkyj/golden-rain-1994,1994,,1994,https://uploads0.wikiart.org/00155/images/oleksandr-hnylyzkyj/1993-4.jpeg!Large.jpeg,Naïve Art (Primitivism)|Transavantgarde,figurative,,,,,,
https://www.wikiart.org/en/johan-hendrik-weissenbruch/a-bomschuit-on-the-beach,,,,https://uploads4.wikiart.org/images/johan-hendrik-weissenbruch/a-bomschuit-on-the-beach.jpg!Large.jpg,Realism,marina,watercolor,Private Collection,boats-and-ships|seas-and-oceans|Vehicle,,,
https://www.wikiart.org/en/aurelie-nemours/le-pierre-au-rouge-1960,1960,,1960,https://uploads0.wikiart.org/images/aurelie-nemours/le-pierre-au-rouge-1960.jpg,Concretism,abstract,,,Orange|Text|Rectangle|Font,,,
https://www.wikiart.org/en/corita-kent/to-all-of-my-calling-your-name-1962,1962,,1962,https://uploads8.wikiart.org/00333/images/corita-kent/to-all-of-my-calling-your-name-1962.jpg!Large.jpg,Pop Art,figurative,,,,,,
https://www.wikiart.org/en/lucien-pissarro/le-ragas-near-toulon-1930,1930,,1930,https://uploads1.wikiart.org/00328/images/lucien-pissarro/le-ragas-near-toulon-1930.jpg!Large.jpg,Neo-Impressionism|Impressionism,landscape,,,,,,
https://www.wikiart.org/en/fyodor-vasilyev/on-the-bank-of-the-volga,1870,,1870,https://uploads2.wikiart.org/images/fyodor-vasilyev/on-the-bank-of-the-volga.jpg!Large.jpg,Realism,landscape,,,rivers-and-waterfalls|Bank,,,
https://www.wikiart.org/en/andrei-ryabushkin/sagittarius,,,,https://uploads0.wikiart.org/images/andrei-ryabushkin/sagittarius.jpg!Large.jpg,Realism,portrait,,,male-portraits|Facial hair|Beard,,,
https://www.wikiart.org/en/cy-twombly/untitled-11,1972,,1972,https://uploads1.wikiart.org/images/cy-twombly/untitled-11.jpg,Abstract Expressionism,abstract,,,,,,
https://www.wikiart.org/en/roger-weik/plane-of-symmetry-2020-2020,2020,"Los Angeles, California","Los Angeles, California|c.2020; Los Angeles, California, United States|2020",https://uploads0.wikiart.org/00291/images/roger-weik/plane-of-symmetry-2020.JPG!Large.JPG,Abstract Art,abstract,,,Rock,,,
https://www.wikiart.org/en/serge-brignoni/p-trification-1940,1940,,1940,https://uploads3.wikiart.org/images/serge-brignoni/p-trification-1940.jpg,Surrealism,symbolic painting,,,Textile,,,
https://www.wikiart.org/en/claude-monet/path-under-the-rose-trellises-giverny-1922,1922,,1922,https://uploads8.wikiart.org/images/claude-monet/path-under-the-rose-trellises-giverny-1922.jpg!Large.jpg,Impressionism,landscape,,,Brown|Tree,,,
https://www.wikiart.org/en/edouard-manet/isabelle-lemonnier-with-a-muff,1880,Paris,"Paris|1880|c.1880; Paris, France",https://uploads6.wikiart.org/images/edouard-manet/isabelle-lemonnier-with-a-muff.jpg!Large.jpg,Impressionism,portrait,oil|canvas,"Dallas Museum of Art, Dallas, TX, US",female-portraits|Lady|Black hair,,,
https://www.wikiart.org/en/theophile-steinlen/convalescents-1915,1915,,1915,https://uploads8.wikiart.org/images/theophile-steinlen/convalescents-1915.jpg!Large.jpg,Realism,illustration,,,Sketch|Figure drawing,,,
https://www.wikiart.org/en/rembrandt-peale/thomas-sully,1859,,1859,https://uploads3.wikiart.org/00380/images/rembrandt-peale/1-thomas-sully-rembrandt-peale.jpg!Large.jpg,Neoclassicism,portrait,oil|canvas,"National Gallery of Art, Washington, DC, US",male-portraits,,,
https://www.wikiart.org/en/jean-cocteau/etrurie-1958,1958,,1958,https://uploads5.wikiart.org/images/jean-cocteau/etrurie-1958.jpg!Large.jpg,Expressionism,design,,,Head,Plate Design,,
https://www.wikiart.org/en/carl-bloch/christian-ii-imprisoned-in-the-tower-at-s-nderborg-castle-1871,1871,,1871,https://uploads8.wikiart.org/images/carl-bloch/christian-ii-imprisoned-in-the-tower-at-s-nderborg-castle-1871.jpg!Large.jpg,Academicism|Realism,history painting,,"National Gallery of Denmark (Statens Museum for Kunst), Copenhagen, Denmark",,,,
https://www.wikiart.org/en/sue-coe/condi,,,,https://uploads2.wikiart.org/images/sue-coe/condi.jpg!Large.jpg,Social Realism,illustration,,,female-portraits|Text|Organism,,,
https://www.wikiart.org/en/johan-jongkind/portrait-of-the-artist-by-himself-1850,1850,,1850,https://uploads4.wikiart.org/00283/images/johan-jongkind/469px-self-portrait-by-johan-barthold-jongkind-1850.jpg,Impressionism,self-portrait,watercolor,"Musée d'Orsay, Paris, France",,,,
https://www.wikiart.org/en/henri-edmond-cross/an-incoming-storm-1908,1908,,1908,https://uploads3.wikiart.org/images/henri-edmond-cross/an-incoming-storm-1908.jpg!Large.jpg,Neo-Impressionism|Pointillism,landscape,oil|canvas,Private Collection,,,,
https://www.wikiart.org/en/vincent-van-gogh/path-to-the-beach-1883,1883,Haag / Den Haag / La Haye / The Hague,"Haag / Den Haag / La Haye / The Hague|1883|1883; Haag / Den Haag / La Haye / The Hague, Netherlands",https://uploads1.wikiart.org/images/vincent-van-gogh/path-to-the-beach-1883.jpg!Large.jpg,Realism,sketch and study,ink|paper,,walking|Text,,,
https://www.wikiart.org/en/odilon-redon/wildflowers-in-a-long-necked-vase,1912,,1912,https://uploads8.wikiart.org/images/odilon-redon/wildflowers-in-a-long-necked-vase.jpg!Large.jpg,Realism,flower painting,oil|canvas,Private Collection,flowers-and-plants|Still life photography|Cut flowers,,,
https://www.wikiart.org/en/kazimir-malevich/formula-of-suprematism,,,,https://uploads1.wikiart.org/images/kazimir-malevich/formula-of-suprematism.jpg!Large.jpg,Constructivism,sketch and study,,,Text|Diagram|Parallel|Line,,,
https://www.wikiart.org/en/william-adolphe-bouguereau/cupid-s-secrets,1896,,1896,https://uploads6.wikiart.org/00389/images/william-adolphe-bouguereau/fb5d187c2c1b275ee60bd3362b69ab74.jpg,Academicism,mythological painting,oil|canvas,,,,,
