url,Create Date,Create Location,image_url,Date,Style,Genre,tags,Period,Media,Theme,Location,Series
https://www.wikiart.org/en/anna-ostroumova-lebedeva/perspective-of-the-constantine-palace-1923,1923,,https://uploads2.wikiart.org/images/anna-ostroumova-lebedeva/perspective-of-the-constantine-palace-1923.jpg!Large.jpg,1923; Russian Federation|1923,Art Nouveau (Modern),landscape,gardens-and-parks,,,,,
https://www.wikiart.org/en/viktor-vasnetsov/m-i-ryazantseva-1901,1901,,https://uploads8.wikiart.org/images/viktor-vasnetsov/m-i-ryazantseva-1901.jpg!Large.jpg,1901,Symbolism,portrait,female-portraits|Lady,,,,,
https://www.wikiart.org/en/pablo-picasso/man-with-guitar-1913,1913,,https://uploads5.wikiart.org/images/pablo-picasso/man-with-guitar-1913.jpg!Large.jpg,1913,Synthetic Cubism,genre painting,musical-instruments,Cubist Period,oil|canvas,,,
https://www.wikiart.org/en/pablo-picasso/harlequin-leaning-1909,1909,,https://uploads6.wikiart.org/images/pablo-picasso/harlequin-leaning-1909.jpg,1909,Analytical Cubism,portrait,male-portraits|Harlequin|actors-and-performances|Leaf,Cubist Period,,Harlequin,,
https://www.wikiart.org/en/john-french-sloan/blond-nude-and-flowers-1929,1929,,https://uploads7.wikiart.org/images/john-french-sloan/blond-nude-and-flowers-1929.jpg!Large.jpg,1929,New Realism,nude painting (nu),flowers-and-plants|female-nude|furniture-and-decoration|Mythology,,oil,,,
https://www.wikiart.org/en/edward-hicks/a-may-morning-view-of-the-farm-and-stock-of-david-leedon-1849,1849,,https://uploads0.wikiart.org/images/edward-hicks/a-may-morning-view-of-the-farm-and-stock-of-david-leedon-1849.jpg!Large.jpg,1849,Naïve Art (Primitivism),animal painting,Sky|House|Rural area|Cloud,,,,,
https://www.wikiart.org/en/jack-tworkov/red-robe-1947,1947,,https://uploads5.wikiart.org/images/jack-tworkov/red-robe-1947.jpg,1947,Abstract Expressionism,figurative,costume design,,,,,
https://www.wikiart.org/en/walasse-ting/ladies-with-parrots,,,https://uploads2.wikiart.org/images/walasse-ting/ladies-with-parrots.jpg,,Naïve Art (Primitivism)|Pop Art,figurative,Bird|Parrot|Macaw,,,,,
https://www.wikiart.org/en/gazmend-freitag/ursula,2018,,https://uploads7.wikiart.org/00208/images/gazmend-freitag/u-3000.jpg!Large.jpg,2018|2018; Austria,Contemporary Realism,genre painting|portrait,Bicycle|Bicycle wheel|Vehicle|Bicycle accessory|Bicycle frame,,oil|canvas,,,
https://www.wikiart.org/en/arthur-beecher-carles/summer-evening-france-1910,1910,,https://uploads1.wikiart.org/images/arthur-beecher-carles/summer-evening-france-1910.jpg!Large.jpg,1910,Post-Impressionism,genre painting,,,,,,
