url,Create Date,Create Location,Date,image_url,Style,Genre,tags,Media,Location,Series,Period,Theme
https://www.wikiart.org/en/mary-pratt/cold-cream-1983,1983,,1983,https://uploads5.wikiart.org/images/mary-pratt/cold-cream-1983.jpg,Photorealism,portrait,Face|Head|Turban|Cheek|Headgear,,,,,
https://www.wikiart.org/en/jules-breton/harvesters,,,,https://uploads3.wikiart.org/images/jules-breton/harvesters.jpg!Large.jpg,Realism,genre painting,Sky|fashion|Tree|Dress,,,,,
https://www.wikiart.org/en/aubrey-beardsley/a-nightpiece-1894,1894,,1894,https://uploads5.wikiart.org/images/aubrey-beardsley/a-nightpiece-1894.jpg!Large.jpg,Art Nouveau (Modern),genre painting,male-portraits,wash|indian ink,"Fitzwilliam Museum (University of Cambridge), Cambridge, UK",,,
https://www.wikiart.org/en/lin-fengmian/owl,,,,https://uploads4.wikiart.org/images/lin-fengmian/owl.jpg,Naïve Art (Primitivism),animal painting,Owl|Bird|Bird of prey|Western Screech owl|Eastern Screech owl|Organism,,,,,
https://www.wikiart.org/en/ilya-mashkov/portrait-of-an-unknown,1910,,1910,https://uploads5.wikiart.org/images/ilya-mashkov/portrait-of-an-unknown.jpg,Fauvism,portrait,male-portraits|Gentleman,,,,,
https://www.wikiart.org/en/raphael-kirchner/deadly-sins-5,,,,https://uploads1.wikiart.org/images/raphael-kirchner/deadly-sins-5.jpg!Large.jpg,Art Nouveau (Modern),nude painting (nu),female-nude,,,Deadly Sins,,
https://www.wikiart.org/en/gustave-loiseau/alley-of-poplars-1900,1900,,1900,https://uploads8.wikiart.org/images/gustave-loiseau/alley-of-poplars-1900.jpg!Large.jpg,Post-Impressionism,landscape,forests-and-trees|Tree|Natural landscape|Natural environment|Atmospheric phenomenon|Woody plant|Plant|Northern hardwood forest|Forest|Sky,oil|canvas,,,,
https://www.wikiart.org/en/gerhard-richter/ownscape-ha-1968,1968,,1968,https://uploads1.wikiart.org/00282/images/gerhard-richter/ownscape-ha.jpg!Blog.jpg,New European Painting,cityscape,Residential area|Urban area|Urban design|Human settlement|Metropolis|City|Mixed-use|Suburb|Line,,,Townscapes (1968-1970),,
https://www.wikiart.org/en/alfred-freddy-krupa/morning-in-contra-light-boat-dock-on-the-river-kupa-in-the-town-of-karlovac-2022,2022,,2022|2022; Croatia,https://uploads7.wikiart.org/00405/images/alfred-freddy-krupa/00.jpg!Large.jpg,Expressionism|Surrealism,cityscape,,mixed technique|canvas,,,,
https://www.wikiart.org/en/john-mccracken/untitled,,,,https://uploads2.wikiart.org/images/john-mccracken/untitled.jpg,Light and Space|Minimalism,sculpture,Light|Material property,,,,,
https://www.wikiart.org/en/eugene-boudin/bridge-on-the-river-touques-at-deauville,,,,https://uploads7.wikiart.org/images/eugene-boudin/bridge-on-the-river-touques-at-deauville.jpg!Large.jpg,Impressionism,landscape,rivers-and-waterfalls|Sky,,,,,
https://www.wikiart.org/en/silvestro-lega/the-red-corset-0,1893,,1893,https://uploads3.wikiart.org/00365/images/silvestro-lega/lega-il-corsetto-rosso-1.jpg!Large.jpg,Realism,portrait,,oil|canvas,,,,
https://www.wikiart.org/en/vasily-vereshchagin/kyrgyz-1870,1870,,1870,https://uploads2.wikiart.org/images/vasily-vereshchagin/kyrgyz-1870.jpg!Large.jpg,Orientalism|Realism,portrait,male-portraits|knights-and-warriors,,"Tretyakov Gallery, Moscow, Russia",,,
https://www.wikiart.org/en/pyotr-konchalovsky/portrait-of-a-doctor-maxim-petrovich-konchalovsky-1934,1934,,1934,https://uploads7.wikiart.org/images/pyotr-konchalovsky/portrait-of-a-doctor-maxim-petrovich-konchalovsky-1934.jpg,Post-Impressionism,portrait,male-portraits,,,,,
https://www.wikiart.org/en/gian-maria-tosatti/volume-landscape-viii-2011,2011,,2011,https://uploads3.wikiart.org/00318/images/gian-maria-tosatti/3-gian-maria-tosatti-volume-piccola.jpg,Contemporary|Environmental (Land) Art,installation,,,,Landscapes,,
https://www.wikiart.org/en/isidore-isou/untitled-from-les-journaux-des-dieux-1950,1950,,1950,https://uploads6.wikiart.org/images/isidore-isou/untitled-from-les-journaux-des-dieux-1950.jpg,Lettrism,figurative,Text|Line,,,,,
https://www.wikiart.org/en/tal-r/chimney-2013,2013,,2013,https://uploads8.wikiart.org/00236/images/tal-r/chimney-2013-1.jpg!Large.jpg,Outsider art,sculpture,,,,,,
https://www.wikiart.org/en/vasily-surikov/a-girl-with-braids-portrait-of-a-a-dobrinskaya-1910,1910,Moscow,"1910; Moscow, Russian Federation|Moscow|1910",https://uploads1.wikiart.org/images/vasily-surikov/a-girl-with-braids-portrait-of-a-a-dobrinskaya-1910.jpg!Large.jpg,Impressionism|Realism,portrait,female-portraits|Lady,oil|canvas,,,,
https://www.wikiart.org/en/zdzislaw-beksinski/untitled-468,,,,https://uploads1.wikiart.org/images/zdislav-beksinski/untitled-197.jpg!Large.jpg,Surrealism,symbolic painting,allegories-and-symbols|streets-and-squares,,,,,
https://www.wikiart.org/en/albert-joseph-moore/sapphires-1877,1877,,1877; United Kingdom|1877,https://uploads5.wikiart.org/images/albert-joseph-moore/sapphires-1877.jpg!Large.jpg,Academicism,portrait,Clothing|Dress|Lady|Gown,oil|canvas,"Birmingham Museum and Art Gallery, Birmingham, UK",,,
https://www.wikiart.org/en/john-vassos/illustration-for-oscar-wilde-s-salome-1927-4,1927,,1927; United States|1927,https://uploads0.wikiart.org/images/john-vassos/illustration-for-oscar-wilde-s-salome-1927-4.jpg!Large.jpg,Art Deco,illustration,female-nude|Salome|Standing,,,,,
https://www.wikiart.org/en/paul-cezanne/still-life-with-plaster-cupid-1895-1,1895,,1895,https://uploads2.wikiart.org/images/paul-cezanne/still-life-with-plaster-cupid-1895-1.jpg!Large.jpg,Post-Impressionism,still life,Still life photography,oil|canvas,"Nationalmuseum, Stockholm, Sweden",,Final period,
https://www.wikiart.org/en/alfred-wallis/st-ives-harbour-white-sailing-ship-1938,1938,,1938,https://uploads6.wikiart.org/images/alfred-wallis/st-ives-harbour-white-sailing-ship-1938.jpg!Large.jpg,Naïve Art (Primitivism),marina,Sailing|Boat|Vehicle|Sail|Sailboat|Schooner|Mast|Watercraft|Sloop|Friendship sloop,,,,,
https://www.wikiart.org/en/odilon-redon/cauldron-of-the-sorceress-1879,1879,,1879,https://uploads5.wikiart.org/images/odilon-redon/cauldron-of-the-sorceress-1879.jpg!Large.jpg,Symbolism,symbolic painting,skeletons-and-skulls|shamans-and-sorcerers|Still life photography,charcoal|paper,"Art Institute of Chicago, Chicago, IL, US",,,
https://www.wikiart.org/en/rene-magritte/the-treachery-of-images-this-is-not-a-pipe-1966,1966,,1966; Belgium|1966,https://uploads7.wikiart.org/images/rene-magritte/the-treachery-of-images-this-is-not-a-pipe-1966(1).jpg,Surrealism,symbolic painting,cigarettes-and-pipes|Tobacco pipe|Smoking|Smoking accessory,,,,Later Period,
https://www.wikiart.org/en/giovanni-fattori/carri-romani-1872,1873,,1873,https://uploads4.wikiart.org/00142/images/57726dcbedc2cb3880b507ce/barrocci-romani-by-giovanni-fattori.jpg!Large.jpg,Realism,genre painting,Transport|Mode of transport|1870s paintings from Italy,panel|tempera,"Palazzo Pitti, Florence, Italy",,,
https://www.wikiart.org/en/gustave-caillebotte/woman-seated-on-the-lawn,1874,,1874,https://uploads6.wikiart.org/images/gustave-caillebotte/woman-seated-on-the-lawn.jpg!Large.jpg,Impressionism,genre painting,female-portraits|Lady,oil|canvas,Private Collection,,,
