url,Create Date,Create Location,image_url,Date,Style,Genre,tags,Media,Location,Period,Series,Theme
https://www.wikiart.org/en/konstantin-bogaevsky/seashore-1907,1907,,https://uploads5.wikiart.org/images/konstantin-bogaevsky/seashore-1907.jpg!Large.jpg,1907,Symbolism,landscape,mountains|Natural landscape|Nature|Mountainous landforms|Mountain|Sky|Water|Cloud,,,,,
https://www.wikiart.org/en/john-mccracken/blue-block-in-three-parts-1966,1966,,https://uploads6.wikiart.org/images/john-mccracken/blue-block-in-three-parts-1966.jpg,1966,Minimalism,installation,Furniture|Table|Material property,,,,,
https://www.wikiart.org/en/vasily-vereshchagin/passage-of-barskaun,1870,,https://uploads1.wikiart.org/images/vasily-vereshchagin/passage-of-barskaun.jpg!Large.jpg,1870,Realism,landscape,rivers-and-waterfalls|forests-and-trees|mountains|River|Nature|Natural landscape|Mountainous landforms|Mountain|Water resources|Watercourse|Water|Wilderness|Mountain river,,,,,
https://www.wikiart.org/en/alexander-ivanov/the-foot-of-vikovary-on-the-road-from-tivoli-in-subiaco,,,https://uploads7.wikiart.org/images/alexander-ivanov/the-foot-of-vikovary-on-the-road-from-tivoli-in-subiaco.jpg!Large.jpg,,Romanticism,landscape,roads-and-vehicles|mountains|Rock|Outcrop|Bedrock|Geology|Raised beach,,,,,
https://www.wikiart.org/en/el-lissitzky/proun-1923,1923,,https://uploads3.wikiart.org/images/el-lissitzky/proun-1923.jpg!Large.jpg,1923,Constructivism,design,designs-and-sketches|covers,,,,,
https://www.wikiart.org/en/maurice-prendergast/sanmaria-formosa-venice,1912,,https://uploads5.wikiart.org/images/maurice-prendergast/sanmaria-formosa-venice.jpg!Large.jpg,1912,Post-Impressionism,cityscape,Venice|Waterway|Vehicle,paper|pencil|watercolor,,,,
https://www.wikiart.org/en/jean-metzinger/still-life-playing-cards-coffee-cup-and-apples-1917,1917,,https://uploads1.wikiart.org/images/jean-metzinger/still-life-playing-cards-coffee-cup-and-apples-1917.jpg!Large.jpg,1917,Cubism,still life,Fictional character,,,,,
https://www.wikiart.org/en/roger-weik/untitled-2004,2001,Los Angeles,https://uploads4.wikiart.org/images/roger-weik/untitled-2004.jpg!Large.jpg,"2001; Los Angeles, United States|Los Angeles|2001",Abstract Expressionism,abstract,Tree,,,,,
https://www.wikiart.org/en/volodymyr-orlovsky/in-the-meadow-thickets-podolsk-province-1890,1890,,https://uploads7.wikiart.org/images/volodymyr-orlovsky/in-the-meadow-thickets-podolsk-province-1890.jpg!Large.jpg,1890,Realism,landscape,lakes-and-ponds|fishing|Nature|Natural landscape|Water|Tree|Bank|River|Vegetation|Natural environment|Sky,canvas|oil,,,,
https://www.wikiart.org/en/alfred-sisley/the-flood-at-port-marly-1876,1876,,https://uploads4.wikiart.org/images/alfred-sisley/the-flood-at-port-marly-1876.jpg!Large.jpg,1876,Impressionism,cityscape,fires-and-floods|streets-and-squares|houses-and-buildings,canvas|oil,"Thyssen-Bornemisza Museum, Madrid, Spain",,,
