url,Create Date,Create Location,Date,image_url,Style,Genre,tags,Period,Media,Location,Theme,Series
https://www.wikiart.org/en/jacob-lawrence/strike-1949,1949,,1949,https://uploads6.wikiart.org/images/jacob-lawrence/strike-1949.jpg!Large.jpg,Cubism|Social Realism,genre painting,,,,,,
https://www.wikiart.org/en/salvador-dali/temple-sketch-for-a-set-design,1941,,1941,https://uploads5.wikiart.org/images/salvador-dali/temple-sketch-for-a-set-design.jpg,Surrealism,sketch and study,Still life photography|Table,Classic Period (1941-1989),,,,
https://www.wikiart.org/en/salvador-dali/festival-in-figueras,1921,,1921,https://uploads4.wikiart.org/images/salvador-dali/festival-in-figueras.jpg,Cloisonnism,genre painting,,Early Years (1917-1927),,,,
https://www.wikiart.org/en/maxime-maufra/the-port-of-la-rochelle-at-twilight-1911,1911,,1911; France|1911,https://uploads7.wikiart.org/images/maxime-maufra/the-port-of-la-rochelle-at-twilight-1911.jpg!Large.jpg,Post-Impressionism,cityscape,boats-and-ships|twilight-and-night|Boat|Vehicle|Watercraft|Waterway,,canvas|oil,Private Collection,,
https://www.wikiart.org/en/simplicio-de-sa/our-lady-of-conception-1828,1828,,1828,https://uploads4.wikiart.org/00305/images/simplicio-de-sa/nossa-senhora.jpg,Neoclassicism,religious painting,Prophet,,oil,Private Collection,,
https://www.wikiart.org/en/rudolf-von-alt/holy-trinity-greek-church-vienna,,,,https://uploads0.wikiart.org/images/rudolf-von-alt/holy-trinity-greek-church-vienna.jpg!Large.jpg,Romanticism,cityscape,streets-and-squares|Holy places|Building,,,,"City life in Vienna (Wien), Austria",
https://www.wikiart.org/en/le-corbusier/femme-dansant-1954,1954,,1954,https://uploads1.wikiart.org/images/le-corbusier/femme-dansant-1954.jpg,Cubism,sculpture,Carving,,,,,
https://www.wikiart.org/en/clarence-holbrook-carter/icon-pyrophorous-1969,1969,,1969,https://uploads8.wikiart.org/images/clarence-holbrook-carter/icon-pyrophorous-1969.jpg!Large.jpg,Abstract Expressionism,abstract,Sky|Text|Turquoise|Pattern|Circle,,,,,
https://www.wikiart.org/en/graham-sutherland/paul-sacher-1955,1955,,1955,https://uploads3.wikiart.org/00229/images/graham-sutherland/paul-sacher-1955.jpg!Large.jpg,Expressionism,portrait|sketch and study,Head|Chin|Nose|Cheek|Forehead,,,,,
https://www.wikiart.org/en/salvador-dali/fishermen-in-the-sun,1928,,1928,https://uploads4.wikiart.org/images/salvador-dali/fishermen-in-the-sun.jpg,Naïve Art (Primitivism)|Abstract Art,landscape,Text|Font,Transitional Period (1927-1928),canvas|oil,Private Collection,,
