url,Create Date,Create Location,image_url,Date,Style,Genre,Media,tags,Location,Series,Period,Theme
https://www.wikiart.org/en/simplicio-de-sa/portrait-of-d-joao-vi-1820,1820,,https://uploads8.wikiart.org/00305/images/simplicio-de-sa/d-joao-6.jpg,1820,Neoclassicism,portrait,oil,Stock photography,,,,
https://www.wikiart.org/en/pyotr-konchalovsky/natasha-in-a-chair-1915,1915,,https://uploads3.wikiart.org/images/pyotr-konchalovsky/natasha-in-a-chair-1915.jpg,1915,Expressionism,portrait,,female-portraits,,,,
https://www.wikiart.org/en/michelangelo-pistoletto/man-with-yellow-pants-1964,1964,,https://uploads2.wikiart.org/images/michelangelo-pistoletto/man-with-yellow-pants-1964.jpg,1964,Conceptual Art,installation,,,,,,
https://www.wikiart.org/en/george-caleb-bingham/a-view-of-a-lake-in-the-mountains-1859,1859,,https://uploads6.wikiart.org/00129/images/george-caleb-bingham/a-view-of-a-lake-in-the-mountains-lacma-65-18-2-of-2.jpg!Large.jpg,1859,Naïve Art (Primitivism)|Romanticism,landscape,,Natural landscape|Nature|morning|Bank|Sky|sunlight,"Los Angeles County Museum of Art (LACMA), Los Angeles, CA, US",,,
https://www.wikiart.org/en/claude-monet/vetheuil-at-sunset,1901,,https://uploads2.wikiart.org/images/claude-monet/vetheuil-at-sunset.jpg!Large.jpg,1901,Impressionism,landscape,,Sky,,,,
https://www.wikiart.org/en/currier-and-ives/unionists-throughout-the-confederate-states-including-germans-resisted-the-imposition-of-1862,1862,,https://uploads0.wikiart.org/images/currier-and-ives/unionists-throughout-the-confederate-states-including-germans-resisted-the-imposition-of-1862.jpg!Large.jpg,1862,Romanticism,caricature,,,,,,
https://www.wikiart.org/en/gerardo-dottori/il-trittico-della-velocit-il-via-1927,1927,,https://uploads5.wikiart.org/images/gerardo-dottori/il-trittico-della-velocit-il-via-1927.jpg,1927,Futurism,abstract,,,,,,
https://www.wikiart.org/en/ettore-tito/san-marco-venice-18th-century-scene-1892,1892,,https://uploads4.wikiart.org/00408/images/ettore-tito/h0611-l255780677-original.jpg!Large.jpg,1892,Realism|Academicism,cityscape|history painting,canvas|oil,,Private Collection,,,
https://www.wikiart.org/en/victo-ngai/in-the-mood-for-love-2017,2017,,https://uploads1.wikiart.org/00231/images/victo-ngai/5918-193068.jpg!Large.jpg,2017|2017; United States,Fantasy Art,illustration,silkscreen,,,,,
https://www.wikiart.org/en/luigi-guardigli/unknown-title-1,,,https://uploads2.wikiart.org/images/luigi-guardigli/unknown-title-1.jpg!Large.jpg,,Art Informel,abstract,,,,,,
https://www.wikiart.org/en/william-turner/rome-from-monte-testaccio,1820,,https://uploads2.wikiart.org/images/william-turner/rome-from-monte-testaccio.jpg!Large.jpg,1820,Romanticism,cityscape,watercolor|pencil,houses-and-buildings|Rome|Badlands,Private Collection,,,
https://www.wikiart.org/en/christo-coetzee/a-sphinx-from-mars-1978,1978,,https://uploads0.wikiart.org/images/christo-coetzee/a-sphinx-from-mars-1978.jpg,1978,Surrealism,portrait,,Face|Head,,,,
https://www.wikiart.org/en/joan-tuset/adam-and-eve-1994,1994,,https://uploads4.wikiart.org/00305/images/joan-tuset/1994-adam-and-eve.jpg!Large.jpg,1994,Neo-Figurative Art,religious painting|figurative,,Human|Human body,,,,
https://www.wikiart.org/en/georges-seurat/the-bec-du-hoc-grandcamp-1885,1885,,https://uploads6.wikiart.org/images/georges-seurat/the-bec-du-hoc-grandcamp-1885.jpg!Large.jpg,1885; France|1885,Neo-Impressionism|Pointillism,landscape,canvas|oil,France|Normandy|Grandcamp,"Tate Modern, London, UK",,,
https://www.wikiart.org/en/enrico-baj/paysage-1957,1957,,https://uploads2.wikiart.org/images/enrico-baj/paysage-1957.jpg,1957,Art Informel,abstract,,,,,,
https://www.wikiart.org/en/robert-filliou/jocker-1969,1969,,https://uploads5.wikiart.org/images/robert-filliou/jocker-1969.jpg,1969,Mail Art,installation,,,,,,
https://www.wikiart.org/en/ilya-repin/leo-tolstoy-working-at-the-round-table-1891,1891,,https://uploads7.wikiart.org/images/ilya-repin/leo-tolstoy-working-at-the-round-table-1891.jpg!Large.jpg,1891,Realism,portrait,,Sketch|Figure drawing|Sitting,,,,
https://www.wikiart.org/en/ivan-shishkin/sketch-of-the-painting-in-1898-1898,1898,,https://uploads2.wikiart.org/images/ivan-shishkin/sketch-of-the-painting-in-1898-1898.jpg!Large.jpg,1898,Realism,sketch and study,,houses-and-buildings|forests-and-trees|Sketch|Tree|Line|monochrome,,,,
https://www.wikiart.org/en/anders-zorn/mrs-bacon-1897,1897,,https://uploads6.wikiart.org/images/anders-zorn/mrs-bacon-1897.jpg!Large.jpg,1897,Art Nouveau (Modern),portrait,canvas|oil,animals|female-portraits|dogs|Lady|Borzoi|Dog|Canidae,"Metropolitan Museum of Art (Met), New York City, NY, US",,,
https://www.wikiart.org/en/frederic-remington/signaling-the-main-command-1885,1885,,https://uploads3.wikiart.org/images/frederic-remington/signaling-the-main-command-1885.jpg!Large.jpg,1885,Impressionism,genre painting,,Rein|Horse|Bridle|Conquistador,,,,
https://www.wikiart.org/en/vasily-surikov/study-of-khakasy,1892,Tobolsk,https://uploads2.wikiart.org/images/vasily-surikov/study-of-khakasy.jpg!Large.jpg,"c.1892; Tobolsk, Russian Federation|Tobolsk|1892",Realism,sketch and study,paper|pencil,male-portraits|Face|Sketch|Forehead|Jaw|Head|Nose|Chin|Cheek|Human,,,,
https://www.wikiart.org/en/john-everett-millais/red-riding-hood-1864,1864,,https://uploads2.wikiart.org/00154/images/john-everett-millais/john-everett-millais-red-riding-hood.jpg!Large.jpg,1864,Romanticism,portrait,oil,Little-Red-Riding-Hood|Lady,,,,
https://www.wikiart.org/en/konstantin-bogaevsky/feodosia,1925,,https://uploads0.wikiart.org/images/konstantin-bogaevsky/feodosia.jpg!Large.jpg,1925,Realism,sketch and study,,cottages-and-farmhouses|Crimea|Tree|Sketch|Branch|Woody plant|Plant,,,,
https://www.wikiart.org/en/roger-weik/soul-of-man-2004,2004,Los Angeles,https://uploads7.wikiart.org/images/roger-weik/soul-of-man-2004.jpg!Large.jpg,"Los Angeles|2004; Los Angeles, United States|2004",Abstract Expressionism,abstract,,Tree|Trunk|Woody plant,,,,
https://www.wikiart.org/en/theodor-pallady/pheasant,,,https://uploads4.wikiart.org/images/theodor-pallady/pheasant.jpg!Large.jpg,,Impressionism,still life,,,,,,
https://www.wikiart.org/en/derek-boshier/fooootball,,,https://uploads3.wikiart.org/images/derek-boshier/fooootball.jpg,,Pop Art,figurative,,Pattern|Circle,,,,
https://www.wikiart.org/en/lovis-corinth/self-portrait-with-a-glass-1907,1907,,https://uploads7.wikiart.org/images/lovis-corinth/self-portrait-with-a-glass-1907.jpg!Large.jpg,1907,Impressionism,self-portrait,,Human,,,,
https://www.wikiart.org/en/georgia-o-keeffe/stamp-in-red-hills,,,https://uploads6.wikiart.org/images/georgia-o-keeffe/stamp-in-red-hills.jpg!Large.jpg,,Precisionism,landscape,,cliffs-and-rocks|Orange,,,,
https://www.wikiart.org/en/ludovic-alleaume/jesus-and-the-samaritan-woman-eglise-saint-sulpice-de-fougeres-detail-1919-15,1919,,https://uploads7.wikiart.org/00304/images/ludovic-alleaume/foug-res-35-glise-saint-sulpice-baie-12-fichier-25.jpg!Large.jpg,1919,Art Nouveau (Modern),religious painting|design,stained glass,,,Eglise Saint-Sulpice de Fougères,,
https://www.wikiart.org/en/tahir-salahov/over-the-caspian-sea-1961,1961,,https://uploads7.wikiart.org/00126/images/tahir-salahov/over-the-caspian-sea-1961.jpg,1961,Severe Style,landscape,,Sky|Water,,,,
https://www.wikiart.org/en/josef-albers/abstract-1940,1940,,https://uploads5.wikiart.org/images/josef-albers/abstract-1940.jpg,1940,Abstract Art,abstract,paper|oil,Brick|Rectangle,,,,
https://www.wikiart.org/en/fusun-onur/untitled-2012,2012,,https://uploads3.wikiart.org/images/fusun-onur/untitled-2012.jpg,2012,Post-Minimalism,sculpture,,Picture frame|Turquoise|Azure|Rectangle|Room,,,,
https://www.wikiart.org/en/roberto-matta/nude-1950,1950,,https://uploads3.wikiart.org/images/roberto-matta/nude-1950.jpg!Large.jpg,1950,Surrealism,nude painting (nu),,Head|Nose|Joint|Line,,,,
https://www.wikiart.org/en/noe-bordignon/the-advice,,,https://uploads3.wikiart.org/00325/images/noe-bordignon/noe-bordignon-4221548.jpg,,Realism,genre painting,canvas|oil,,,,,
https://www.wikiart.org/en/felix-vallotton/french-writer-henry-gauthier-villars-aka-willy-1859-1931-by-f-lix-valloton-1865-1925-1896,1896,,https://uploads4.wikiart.org/images/felix-vallotton/french-writer-henry-gauthier-villars-aka-willy-1859-1931-by-f-lix-valloton-1865-1925-1896.jpg!Large.jpg,1896,Art Nouveau (Modern),portrait,,male-portraits|famous-people|Head|Line|Headgear,,,,
https://www.wikiart.org/en/albert-anker/kinderfr-hst-ck-1879,1879,,https://uploads4.wikiart.org/images/albert-anker/kinderfr-hst-ck-1879.jpg!Large.jpg,1879,Realism|Biedermeier,genre painting,,,"Kunstmuseum Basel, Basel, Switzerland",,,
https://www.wikiart.org/en/bill-woodrow/winged-box-2-1998,1998,,https://uploads0.wikiart.org/images/bill-woodrow/winged-box-2-1998.jpg,1998,Neo-Pop Art,sculpture,,Table|Stool|Furniture|End table|Tree stump|Wood stain|Tree|Trunk,,,,
https://www.wikiart.org/en/william-merritt-chase/portrait-of-harriet-hubbard-ayer,1879,,https://uploads7.wikiart.org/images/william-merritt-chase/portrait-of-harriet-hubbard-ayer.jpg!Large.jpg,1879,Impressionism,portrait,canvas|oil,famous-people|female-portraits|Lady,,,,
https://www.wikiart.org/en/aurel-cojan/composition-1960,1960,,https://uploads8.wikiart.org/images/aurel-cojan/composition-1960.jpg!Large.jpg,1960,Art Informel,abstract,,Botany|Sketch|Tree,,,,
https://www.wikiart.org/en/hans-andersen-brendekilde/i-a-ring-painting-near-aasum-smithy-1893,1893,,https://uploads2.wikiart.org/00261/images/hans-andersen-brendekilde/hans-andersen-brendekilde-l-a-ring-maler-ved-aasum-smedje.jpg!Large.jpg,1893,Realism,genre painting,oil,,,,,
https://www.wikiart.org/en/giovanni-fattori/geh-ft-in-den-h-geln-1890,1890,,https://uploads4.wikiart.org/images/giovanni-fattori/geh-ft-in-den-h-geln-1890.jpg!Large.jpg,1890,Realism,landscape,wood,,"Palazzo Pitti, Florence, Italy",,,
https://www.wikiart.org/en/aaron-shikler/hotel-room-oxford-2004,2004,,https://uploads7.wikiart.org/00115/images/aaron-shikler/aaron-shikler-tutt-art-49.jpg!Large.jpg,2004,New Realism,genre painting,pastel,,,,,
https://www.wikiart.org/en/theophile-steinlen/le-houilleur-1907,1907,,https://uploads7.wikiart.org/images/theophile-steinlen/le-houilleur-1907.jpg!Large.jpg,1907,Realism,illustration,,Sketch|Figure drawing,,,,
