url,Create Date,Create Location,Style,image_url,Genre,tags,Date,Media,Location,Series,Period,Theme
https://www.wikiart.org/en/erte/alphabet-w,,,Art Deco,https://uploads.wikiart.org/Content/images/FRAME-600x480.jpg,design,designs-and-sketches|Graphic design|Pink|Font,,,,,,
https://www.wikiart.org/en/odilon-redon/head-of-a-young-woman-in-profile,1895,,Symbolism,https://uploads7.wikiart.org/images/odilon-redon/head-of-a-young-woman-in-profile.jpg!Large.jpg,portrait,female-portraits|Head|Chin,1895,paper|pastel,Private Collection,,,
https://www.wikiart.org/en/tony-scherman/bonaparte-1999,1999,,Neo-Expressionism,https://uploads7.wikiart.org/images/tony-scherman/bonaparte-1999.jpg,portrait,Face|Head|Nose|Cheek|Human|Napoleon Bonaparte,1999,,,,,
https://www.wikiart.org/en/gustave-moreau/the-apparition-1876,1876,,Symbolism,https://uploads5.wikiart.org/images/gustave-moreau/the-apparition-1876.jpg!Large.jpg,religious painting,Christianity|Salome|St. John the Baptist|Holy places|Mythology,1876,watercolor,"Musée d'Orsay, Paris, France",,,
https://www.wikiart.org/en/norman-rockwell/jeers-from-crowd,1948,,Regionalism,https://uploads3.wikiart.org/images/norman-rockwell/jeers-from-crowd.jpg!Large.jpg,genre painting,group-portraits|games-and-sport|Baseball uniform|Baseball|Baseball player|Team sport|Bat-and-ball games|College baseball|Vintage base ball,1948,,,,,
https://www.wikiart.org/en/katsushika-hokusai/poenies-and-butterfly,,,Ukiyo-e,https://uploads2.wikiart.org/images/katsushika-hokusai/poenies-and-butterfly.jpg!Large.jpg,flower painting,flowers-and-plants|butterflies|Leaf|Botany|Plant|Pattern|Textile|Flower,,,"Guimet Museum, Paris, France",鳥與花,,
https://www.wikiart.org/en/miklos-barabas/portrait-of-emperor-franz-joseph-i-1853,1853,,Romanticism,https://uploads6.wikiart.org/images/miklos-barabas/portrait-of-emperor-franz-joseph-i-1853.jpg,portrait,King|male-portraits,1853,oil|canvas,"Hungarian National Museum, Budapest, Hungary",,,
https://www.wikiart.org/en/augustus-john/the-blue-pool-1910,1910,,Post-Impressionism,https://uploads3.wikiart.org/images/augustus-john/the-blue-pool-1910.jpg!Large.jpg,genre painting,Lady,1910,,,,,
https://www.wikiart.org/en/eugene-atget/fontaine-du-point-du-jour-versailles,,,Documentary photography,https://uploads3.wikiart.org/00302/images/eugene-atget/eug-ne-atget-fontaine-du-point-du-jour-versailles-google-art-project.jpg!Large.jpg,photo,Statue|Monument|Classical sculpture,,photography,,,,
https://www.wikiart.org/en/andreas-achenbach/evening-mood-in-een-hollandse-haven-1880,1880,,Romanticism,https://uploads0.wikiart.org/00313/images/andreas-achenbach/achenbach-avondstemming.jpg!Large.jpg,cityscape|marina,Waterway|Vehicle,1880,oil|canvas,,,,
https://www.wikiart.org/en/pierre-auguste-renoir/cagnes-landscape-4,1895,,Impressionism,https://uploads2.wikiart.org/images/pierre-auguste-renoir/cagnes-landscape-4.jpg!Large.jpg,landscape,Tree,1895,oil|canvas,Private Collection,,Later Years,
https://www.wikiart.org/en/hugo-muhlig/fishermen-with-their-boats,,,Impressionism,https://uploads6.wikiart.org/00330/images/hugo-muhlig/m-hling-fischer-bei-ihren-booten-albert-k-nig-museum20160904.jpg!Large.jpg,genre painting,,,oil,,,,
https://www.wikiart.org/en/joe-machine/sailor-and-charlotte-2017,2017,,Stuckism,https://uploads1.wikiart.org/00226/images/joe-machine/sailor-and-charlotte.jpg!Large.jpg,genre painting|nude painting (nu),female-nude,2017,canvas|acrylic,,,,Sailor
https://www.wikiart.org/en/henri-fantin-latour/two-peaches-and-two-plums-1899,1899,,Realism,https://uploads3.wikiart.org/images/henri-fantin-latour/two-peaches-and-two-plums-1899.jpg!Large.jpg,still life,Still life photography|Fruit|Pomegranate|Mabolo|Plant,1899,oil|canvas,Private Collection,,,
https://www.wikiart.org/en/maurice-prendergast/children-in-the-park,1910,,Post-Impressionism,https://uploads2.wikiart.org/images/maurice-prendergast/children-in-the-park.jpg!Large.jpg,genre painting,children|gardens-and-parks|Tree,1910,oil|canvas,Private Collection,,,
https://www.wikiart.org/en/roger-bissi-re/composition-rouge-bleu-jaune-1953,1953,,Art Informel,https://uploads0.wikiart.org/images/roger-bissi-re/composition-rouge-bleu-jaune-1953.jpg,abstract,,1953,,,,,
https://www.wikiart.org/en/gustave-loiseau/by-the-oise-at-parmain-1898,1898,,Post-Impressionism,https://uploads5.wikiart.org/images/gustave-loiseau/by-the-oise-at-parmain-1898.jpg!Large.jpg,landscape,castles-and-fortresses|rivers-and-waterfalls|forests-and-trees|Tree|Rural area,1898,oil|canvas,,,,
https://www.wikiart.org/en/tsuguharu-foujita/maxim-1951,1951,,Magic Realism,https://uploads7.wikiart.org/images/tsuguharu-foujita/maxim-1951.jpg,genre painting,Sketch|Line,1951,,,,,
https://www.wikiart.org/en/vincent-van-gogh/the-green-vinyard-1888,1888,"Arles, Bouches-du-Rhône",Post-Impressionism,https://uploads1.wikiart.org/images/vincent-van-gogh/the-green-vinyard-1888.jpg!Large.jpg,landscape,gardens-and-parks|manors-and-plantations|Natural landscape|Tree|Meadow|Plant|Sky|Wildflower,"Arles, Bouches-du-Rhône|1888|1888; Arles, Bouches-du-Rhône, France",oil|canvas,"Kröller-Müller Museum, Otterlo, Netherlands",,,
https://www.wikiart.org/en/ivan-bilibin/underwater-illustration-for-the-epic-volga-1928,1928,,Art Nouveau (Modern),https://uploads4.wikiart.org/images/ivan-bilibin/underwater-illustration-for-the-epic-volga-1928.jpg!Large.jpg,illustration,fish|boats-and-ships|seas-and-oceans|Slavic-mythology|epic|Volga,1928,,,Volga,,
https://www.wikiart.org/en/thomas-girtin/a-temple-of-vesta,,,Romanticism,https://uploads2.wikiart.org/images/thomas-girtin/a-temple-of-vesta.jpg!Large.jpg,landscape,,,,,,,
https://www.wikiart.org/en/m-c-escher/coast-of-amalfi,1931,,Realism,https://uploads5.wikiart.org/images/m-c-escher/coast-of-amalfi.jpg,landscape,forests-and-trees|mountains|Tree|Stock photography|Monochrome photography|monochrome,1931,,,,,
https://www.wikiart.org/en/martiros-sarian/flamboyant-landscape-1933,1933,,Expressionism,https://uploads3.wikiart.org/images/martiros-saryan/flamboyant-landscape-1933.jpg!Large.jpg,illustration,mountains,1933,paper|watercolor,,Armenian Folk Tales',,
https://www.wikiart.org/en/theophile-steinlen/la-chanson-de-l-aiguille,,,Realism,https://uploads5.wikiart.org/images/theophile-steinlen/la-chanson-de-l-aiguille.jpg!Large.jpg,illustration,Sketch,,,,,,
https://www.wikiart.org/en/konstantin-makovsky/friends,1895,,Realism,https://uploads7.wikiart.org/images/konstantin-makovsky/friends.jpg!Large.jpg,genre painting,Musician|Musical instrument|Music,1895,,,,,
https://www.wikiart.org/en/friedel-dzubas/tundra-ii-1962,1962,,Color Field Painting,https://uploads8.wikiart.org/images/friedel-dzubas/tundra-ii-1962.jpg,abstract,,1962,,,,,
https://www.wikiart.org/en/dimitris-mytaras/mother-and-child,,,Expressionism,https://uploads3.wikiart.org/images/dimitris-mytaras/mother-and-child.jpg,genre painting,Textile,,,,,,
https://www.wikiart.org/en/saul-steinberg/girl-in-bathtub-1949,1949,,Surrealism|Expressionism,https://uploads5.wikiart.org/images/saul-steinberg/girl-in-bathtub-1949.jpg,installation,,1949,,,,,
https://www.wikiart.org/en/vincent-van-gogh/drawbridge-with-walking-couple-1888,1888,"Arles, Bouches-du-Rhône",Post-Impressionism,https://uploads8.wikiart.org/images/vincent-van-gogh/drawbridge-with-walking-couple-1888(1).jpg!Large.jpg,sketch and study,couples|walking|Vehicle,"Arles, Bouches-du-Rhône|1888|1888; Arles, Bouches-du-Rhône, France",ink|paper,"Morgan Library and Museum (Pierpont Morgan Library), New York City, NY, US",,,
https://www.wikiart.org/en/salvador-dali/the-enigma-of-hitler,1938,,Surrealism,https://uploads5.wikiart.org/images/salvador-dali/the-enigma-of-hitler.jpg!Large.jpg,symbolic painting,,1938,oil|canvas,,,Surrealism Period (1929-1940),
https://www.wikiart.org/en/kuzma-petrov-vodkin/still-life-with-roses-1922,1922,,Symbolism,https://uploads8.wikiart.org/images/kuzma-petrov-vodkin/still-life-with-roses-1922.jpg!Large.jpg,still life,Garden roses|Flower|Rose|Plant|Botany|Still life photography|Rose family,1922,,,,,
https://www.wikiart.org/en/salvador-dali/orchard-at-llane-cadaques-1920,1920,,Impressionism,https://uploads5.wikiart.org/images/salvador-dali/orchard-at-llane-cadaques-1920.jpg,landscape,Tree|Bank|Woody plant|Bayou,1920,,,,Early Years (1917-1927),
