url,Create Date,Create Location,Date,image_url,Style,Genre,Location,tags,Media,Series,Period,Theme
https://www.wikiart.org/en/otto-mueller/self-portrait-1921,1921,,1921,https://uploads0.wikiart.org/00137/images/otto-mueller/otto-mueller-self-portrait.jpg!Large.jpg,Expressionism,self-portrait,"Saint Louis Art Museum, St. Louis, MO, US",,,,,
https://www.wikiart.org/en/georges-braque/glass-carafe-and-newspapers-1914,1914,,1914; France|1914,https://uploads0.wikiart.org/images/georges-braque/glass-carafe-and-newspapers-1914.jpg!Large.jpg,Synthetic Cubism,still life,Private Collection,dishware-and-cutlery|newspapers,oil|chalk|collage|charcoal|canvas,,,
https://www.wikiart.org/en/konstantin-yuon/festivities-on-the-field-devichye-1947-1,1947,,1947,https://uploads0.wikiart.org/images/konstantin-yuon/festivities-on-the-field-devichye-1947-1.jpg!Large.jpg,Socialist Realism,genre painting,Private Collection,celebrations-and-festivals|Crowd,oil|canvas,,,
https://www.wikiart.org/en/corneille/les-amies-1981,1981,,1981,https://uploads3.wikiart.org/images/corneille/les-amies-1981.jpg,Neo-Expressionism,symbolic painting,,Organism,,,,
https://www.wikiart.org/en/nadar/self-portrait-1855,1855,,1855,https://uploads3.wikiart.org/00335/images/nadar/nadar-gaspard-f-lix-tournachon-self-portrait-google-art-project.jpg!Large.jpg,Pictorialism,self-portrait|photo,,,print|photography,,,
https://www.wikiart.org/en/maximilien-luce/rolleboise-bathers-near-the-arm-of-the-seine-1930,1930,,1930,https://uploads0.wikiart.org/00328/images/maximilien-luce/rolleboise-baigneurs-pr-s-du-bras-de-seine.PNG!Large.PNG,Neo-Impressionism,genre painting|landscape,,,oil,,,
https://www.wikiart.org/en/ellsworth-kelly/sculpture-for-a-large-wall-1957,1957,,1957,https://uploads8.wikiart.org/images/ellsworth-kelly/sculpture-for-a-large-wall-1957.jpg,Hard Edge Painting,sculpture,,Shelf|Furniture|Table|Interior design|Rectangle|Shelving|Line,,,,
https://www.wikiart.org/en/david-cox/tour-d-horloge-rouen-1829,1829,,1829,https://uploads6.wikiart.org/images/david-cox/tour-d-horloge-rouen-1829.jpg!Large.jpg,Romanticism,cityscape,,Arch|Medieval architecture,,,,
https://www.wikiart.org/en/francois-gerard/madame-charles-maurice-de-talleyrand-perigord-1761-1835,1805,,1805,https://uploads0.wikiart.org/00386/images/francois-gerard/3-madame-charles-maurice-de-talleyrand-perigord-francois-gerard.jpg!Large.jpg,Neoclassicism,portrait,Private Collection,Lady|Standing,oil|canvas,,,
https://www.wikiart.org/en/william-blake/christ-refusing-the-banquet-offered-by-satan-1820,1820,,1820,https://uploads7.wikiart.org/images/william-blake/christ-refusing-the-banquet-offered-by-satan-1820.jpg!Large.jpg,Symbolism,illustration,"Fitzwilliam Museum (University of Cambridge), Cambridge, UK","Jesus-Christ|Satan|fictional-characters|John-Milton-""Paradise-Regained""|Relief|Mythology",paper|watercolor|pen|wash|ink,Illustrations to John Milton - Paradise Regained,,
https://www.wikiart.org/en/vincent-van-gogh/head-of-an-angel-after-rembrandt-1889,1889,Saint-rémy-de-provence,"1889; Saint-rémy-de-provence, France|1889|Saint-rémy-de-provence",https://uploads7.wikiart.org/images/vincent-van-gogh/head-of-an-angel-after-rembrandt-1889.jpg!Large.jpg,Post-Impressionism,religious painting,Private Collection,Christianity|angels-and-archangels,oil|canvas,,,
https://www.wikiart.org/en/john-wilson-carmichael/shields-from-the-harbour-mouth-1845,1845,,1845,https://uploads1.wikiart.org/images/john-wilson-carmichael/shields-from-the-harbour-mouth-1845.jpg,Romanticism,landscape,,Sky|Coast|Sea|Shore|Cliff|Cloud|Rock|Tide,,,,
https://www.wikiart.org/en/vasily-perov/blind-1878,1878,,1878,https://uploads3.wikiart.org/images/vasily-perov/blind-1878.jpg!Large.jpg,Realism,portrait,,male-portraits|Gentleman,,,,
https://www.wikiart.org/en/richard-tuttle/20-pearls-a-2007,2007,,2007,https://uploads1.wikiart.org/images/richard-tuttle/20-pearls-a-2007.jpg,Minimalism|Abstract Expressionism,abstract,,Leaf,,20 Pearls,,
https://www.wikiart.org/en/vajda-lajos/vajda-lajos-1925-konyha-450x345-mm-szen-papir-1925,1925,,1925,https://uploads5.wikiart.org/00388/images/vajda-lajos/vajda-lajos-1925-konyha-450x345-mm-sz-n-pap-r.JPG!Large.JPG,,,,,,,,
https://www.wikiart.org/en/tove-jansson/mysterious-landscape-1930,1930,,1930,https://uploads8.wikiart.org/00334/images/tove-jansson/mysterious-landscape-1930.jpg!Large.jpg,Expressionism,landscape,,,,,,
https://www.wikiart.org/en/pyotr-konchalovsky/southern-still-life-1946,1946,,1946,https://uploads4.wikiart.org/images/pyotr-konchalovsky/southern-still-life-1946.jpg,Post-Impressionism,still life,,fruits-and-vegetables|dishware-and-cutlery,,,,
https://www.wikiart.org/en/pierre-auguste-renoir/ball-at-the-moulin-de-la-galette-1876,1876,,1876,https://uploads6.wikiart.org/images/pierre-auguste-renoir/ball-at-the-moulin-de-la-galette-1876(1).jpg!Large.jpg,Impressionism,genre painting,"Musée d'Orsay, Paris, France",People|Crowd,oil|canvas,,Association with Impressionists,
https://www.wikiart.org/en/giulio-paolini/nesso-1977,1977,,1977,https://uploads4.wikiart.org/images/giulio-paolini/nesso-1977.jpg,Conceptual Art,sculpture,,,,,,
https://www.wikiart.org/en/william-merritt-chase/the-little-red-bowl,1912,,1912,https://uploads3.wikiart.org/images/william-merritt-chase/the-little-red-bowl.jpg!Large.jpg,Realism,still life,Private Collection,fruits-and-vegetables|dishware-and-cutlery|food-and-beverages|Still life photography,oil|board,,,
https://www.wikiart.org/en/keith-haring/untitled-1983-3,1983,,1983,https://uploads8.wikiart.org/images/keith-haring/untitled-1983(3).jpg,Pop Art,figurative,,Font,,,,
https://www.wikiart.org/en/gustav-bauernfeind/a-portrait-of-the-gate-of-the-great-umayyad-mosque-damascus-1890,1890,,1890,https://uploads1.wikiart.org/00298/images/gustav-bauernfeind/gate-of-the-great-mosque-damascus.jpg!Large.jpg,Orientalism,genre painting,,Holy places,oil,,,
https://www.wikiart.org/en/wojciech-siudmak/the-storm,,,,https://uploads6.wikiart.org/images/wojciech-siudmak/the-storm.jpg!Large.jpg,Fantastic Realism,symbolic painting,,allegories-and-symbols|Sky|Water|Cloud,,,,
https://www.wikiart.org/en/arkhip-kuindzhi/evening,1890,,1890,https://uploads3.wikiart.org/images/arkhip-kuindzhi/evening.jpg!Large.jpg,Impressionism,landscape,,sunrise-and-sunset|forests-and-trees|Sky|Tree|Natural landscape|morning|Cloud|Evening|Horizon,oil|canvas,,,
https://www.wikiart.org/en/maximilien-luce/lavandiere,,,,https://uploads2.wikiart.org/00328/images/maximilien-luce/maximilien-luce-lavandi-re.jpg!Large.jpg,Neo-Impressionism,genre painting,,,,,,
https://www.wikiart.org/en/xavier-mellery/self-portrait-0,,,,https://uploads4.wikiart.org/00329/images/xavier-mellery/autoportrait.jpg,Symbolism,self-portrait,,,,,,
https://www.wikiart.org/en/banksy/horenka-sadova-21-2022,2022,,2022,https://uploads2.wikiart.org/00420/images/banksy/240957-2.jpg!Large.jpg,Street art,graffiti,,Russian invasion in Ukraine,spray paint|stencil,Ukraine 2022,,
https://www.wikiart.org/en/giovanni-boldini/portrait-of-madame-josephina-alvear-de-errazuriz-1892,1892,,1892,https://uploads5.wikiart.org/images/giovanni-boldini/portrait-of-madame-josephina-alvear-de-errazuriz-1892.jpg!Large.jpg,Realism,portrait,Private Collection,famous-people|female-portraits|Lady,oil|canvas,,,
https://www.wikiart.org/en/frederic-edwin-church/niagara-1857,1857,,1857,https://uploads2.wikiart.org/00340/images/frederic-edwin-church/niagara-1.jpg!Large.jpg,Romanticism,landscape,"Olana State Historic Site, Greenport, NY, US",Body of water|Nature|Waterfall|Natural landscape|Water|Water resources|Watercourse|Sky|Wave|Rapid,oil|canvas,,,
https://www.wikiart.org/en/salvador-dali/morning-ossification-of-the-cypress-1934,1934,,1934,https://uploads7.wikiart.org/images/salvador-dali/morning-ossification-of-the-cypress-1934.jpg!Large.jpg,Surrealism,symbolic painting,Private Collection,Sky,oil|canvas,,Surrealism Period (1929-1940),
https://www.wikiart.org/en/florin-ciulache/national-geographic-channel,,,,https://uploads4.wikiart.org/images/florin-ciulache/national-geographic-channel.jpg,Neo-Pop Art,,,Majorelle blue|Text|Font,,,,
https://www.wikiart.org/en/arkhip-kuindzhi/evening-in-the-steppe,,,,https://uploads8.wikiart.org/images/arkhip-kuindzhi/evening-in-the-steppe.jpg!Large.jpg,Impressionism,landscape,,deserts-and-steppes,oil|canvas,,,
https://www.wikiart.org/en/zinaida-serebriakova/a-portrait-of-yvette-choviret-1962,1962,,1962,https://uploads8.wikiart.org/images/zinaida-serebriakova/a-portrait-of-yvette-choviret-1962.jpg!Large.jpg,Expressionism,portrait,,female-portraits|Lady|Beauty,,,,
https://www.wikiart.org/en/alexej-von-jawlensky/variation-sonnenaufgang-1918,1918,,1918,https://uploads2.wikiart.org/images/alexej-von-jawlensky/variation-sonnenaufgang-1918.jpg!Large.jpg,Abstract Art,abstract,,,,,,
https://www.wikiart.org/en/george-saru/autum-with-vapor-of-clouds-1992,1992,New York City,"New York City|1992; New York City, United States|1992",https://uploads3.wikiart.org/00114/images/george-saru/tumblr-n1lecpmjkc1tur0p6o3-r1-500.jpg,Abstract Art,abstract,,People|Sketch,acrylic,,,
https://www.wikiart.org/en/gerda-wegener/atmosphaere-1920,1920,,1920,https://uploads8.wikiart.org/00333/images/gerda-wegener/atmosphaere-1920.jpg,Art Nouveau (Modern),illustration,,,,,,
https://www.wikiart.org/en/arman-manookian/hawaiians,,,,https://uploads5.wikiart.org/images/arman-manookian/hawaiians.jpg!Large.jpg,Naïve Art (Primitivism),genre painting,,,,,,
https://www.wikiart.org/en/antonio-corpora/the-beautiful-morning-1982,1982,,1982,https://uploads3.wikiart.org/images/antonio-corpora/the-beautiful-morning-1982.jpg,Abstract Expressionism,abstract,,Line,,,,
https://www.wikiart.org/en/gustave-loiseau/cliffs-in-gray-weather,,,,https://uploads0.wikiart.org/images/gustave-loiseau/cliffs-in-gray-weather.jpg!Large.jpg,Post-Impressionism,landscape,,seas-and-oceans|mountains|Cliff|Sea|Headland|Water|Coast|Sky|Coastal and oceanic landforms|Terrain|Ocean|Rock,,,,
https://www.wikiart.org/en/xu-hongming/-2001,2001,,2001,https://uploads6.wikiart.org/images/xu-hongming/-2001.jpg!Large.jpg,Maximalism,abstract,,,,,,
https://www.wikiart.org/en/kitagawa-utamaro/not_detected_233133,,,,https://uploads7.wikiart.org/images/kitagawa-utamaro/not_detected_233133.jpg!Large.jpg,Ukiyo-e,genre painting,,female-portraits,,,,
https://www.wikiart.org/en/john-ferren/composition-1933,1933,,1933,https://uploads7.wikiart.org/images/john-ferren/composition-1933.jpg,Abstract Art,abstract,,,,,,
https://www.wikiart.org/en/ellsworth-kelly/the-meschers-1951,1951,,1951,https://uploads3.wikiart.org/images/ellsworth-kelly/the-meschers-1951.jpg,Hard Edge Painting,abstract,,Majorelle blue|Pattern|Line,,,,
https://www.wikiart.org/en/andy-warhol/red-lenin,1987,,1987,https://uploads1.wikiart.org/images/andy-warhol/red-lenin.jpg!Large.jpg,Pop Art,portrait,,male-portraits|famous-people|Vladimir-Lenin,,,,
https://www.wikiart.org/en/nadar/edmond-left-and-jules-right-de-goncourt,,,,https://uploads5.wikiart.org/00335/images/nadar/f-lix-nadar-1820-1910-portraits-edmond-et-jules-goncourt.jpg!Large.jpg,Pictorialism,portrait|photo,,,photography,,,
https://www.wikiart.org/en/henri-martin/landscape-2,,,,https://uploads4.wikiart.org/images/henri-martin/landscape-2.jpg!Large.jpg,Divisionism,landscape,,cliffs-and-rocks|Leaf|Tree|Plant,,,,
https://www.wikiart.org/en/pyotr-konchalovsky/willows-on-the-volkhov-1926,1926,,1926,https://uploads8.wikiart.org/images/pyotr-konchalovsky/willows-on-the-volkhov-1926.jpg!Large.jpg,Realism,landscape,,rivers-and-waterfalls|Tree|Bank|Plant|Water|Bayou|Woody plant,,,,
https://www.wikiart.org/en/charles-alston/walking-1958-0,1958,,1958,https://uploads6.wikiart.org/00315/images/charles-alston/walking-c1958-1.jpg,Cubism|Expressionism,genre painting,,,,,,
https://www.wikiart.org/en/henri-martin/the-old-bridge,,,,https://uploads7.wikiart.org/images/henri-martin/the-old-bridge.jpg!Large.jpg,Impressionism,cityscape,,houses-and-buildings|rivers-and-waterfalls|boats-and-ships|forests-and-trees|Waterway,,,,
https://www.wikiart.org/en/morteza-katouzian/regretful-1981,1981,,"1981; Iran, Islamic Republic of|1981",https://uploads5.wikiart.org/00107/images/morteza-katouzian/79.jpg!Large.jpg,Contemporary Realism,genre painting,,male-portraits|Human,oil|canvas,,,
https://www.wikiart.org/en/m-h-maxy/nude-with-veil-1922,1922,,1922,https://uploads6.wikiart.org/images/max-herman-maxy/nude-with-veil-1922.jpg!Large.jpg,Cubism,nude painting (nu),,Pattern,,,,
https://www.wikiart.org/en/alexander-ivanov/dream-of-jacob,,,,https://uploads2.wikiart.org/images/alexander-ivanov/dream-of-jacob.jpg!Large.jpg,Academicism,sketch and study,,Christianity|Old-Testament|dreams-and-hallucinations,,,,
https://www.wikiart.org/en/giorgio-de-chirico/a-troubadur,1950,,1950,https://uploads1.wikiart.org/images/giorgio-de-chirico/a-troubadur.jpg!Large.jpg,Metaphysical art,allegorical painting,,allegories-and-symbols|Armour,oil|canvas,,,
https://www.wikiart.org/en/audrey-flack/parrots-live-forever,,,,https://uploads4.wikiart.org/images/audrey-flack/parrots-live-forever.jpg!Large.jpg,Photorealism,still life,,Stemware|Wine glass,,,,
https://www.wikiart.org/en/ralph-fasanella/family-supper-1972,1972,,1972,https://uploads3.wikiart.org/00253/images/ralph-fasanella/06-familysupper.jpg!Large.jpg,Outsider art,genre painting,,,,,,
https://www.wikiart.org/en/raphael-kirchner/smoking-women-1904-1,1904,,1904,https://uploads8.wikiart.org/images/raphael-kirchner/smoking-women-1904-1.jpg!Large.jpg,Art Nouveau (Modern),design,,female-portraits|Photograph|Shoulder|Lady|Vintage clothing|Hairstyle|Retro style|Dress|Joint|Arm,,Smoking Women,,
https://www.wikiart.org/en/arkhip-kuindzhi/moonlight-night-meditation,,,,https://uploads4.wikiart.org/images/arkhip-kuindzhi/moonlight-night-meditation.jpg!Large.jpg,Impressionism,genre painting,,twilight-and-night|leisure-and-sleep,oil|canvas,,,
https://www.wikiart.org/en/john-kacere/untitled-1,,,,https://uploads0.wikiart.org/00316/images/john-kacere/jk-6-1600-c.jpg!Large.jpg,Photorealism|Kitsch,nude painting (nu),,,,,,
https://www.wikiart.org/en/robert-rauschenberg/sant-agnese-venetian-1973,1973,,1973,https://uploads7.wikiart.org/00238/images/robert-rauschenberg/sant-agnese-venetian-1973-1.jpg,Neo-Dada,installation,,Furniture|Product|Bed|Table|studio couch,,,,
https://www.wikiart.org/en/marc-chagall/job-praying-1960,1960,,1960; France|1960,https://uploads0.wikiart.org/images/marc-chagall/job-praying-1960.jpg!Large.jpg,Naïve Art (Primitivism),religious painting,,Job|Hebrew-Bible|Judaism|Organism,paper|lithography,Bible lithographs (1960),,
https://www.wikiart.org/en/noguchi-isamu/monument-to-heroes-1943,1943,,1943,https://uploads7.wikiart.org/images/isamu-noguchi/monument-to-heroes-1943.jpg,Expressionism,sculpture,,,,,,
https://www.wikiart.org/en/david-michael-hinnebusch/little-flowers-on-the-stump,2017,,2017,https://uploads6.wikiart.org/00184/images/david-michael-hinnebusch/little-flowers-on-the-stump-18x24in-mixed-media-on-wallpaper.jpg!Large.jpg,Figurative Expressionism|Neo-Figurative Art,poster|nude painting (nu),,female-portraits,paper|wallpaper|photography|acrylic,Rosemont,,
https://www.wikiart.org/en/frank-w-benson/girl-with-pink-bow-1905,1905,,1905,https://uploads2.wikiart.org/00191/images/frank-w-benson/girl-with-pink-bow-oil-1905-frank-weston-benson.jpg!Large.jpg,Impressionism,portrait,,Lady,oil,,,
https://www.wikiart.org/en/arturo-souto/the-toureiro-and-the-maja-1932,1932,,1932,https://uploads5.wikiart.org/images/arturo-souto/the-toureiro-and-the-maja-1932.jpg!Large.jpg,Expressionism,genre painting,,actors-and-performances,oil|canvas,,,
https://www.wikiart.org/en/zdzislaw-beksinski/untitled-613,,,,https://uploads0.wikiart.org/images/zdislav-beksinski/untitled-24.jpg!Large.jpg,Surrealism,symbolic painting,,allegories-and-symbols,,,,
https://www.wikiart.org/en/luis-camnitzer/una-que-cubre-la-palabra-que-la-nombra-1976,1976,,1976,https://uploads1.wikiart.org/images/luis-camnitzer/una-que-cubre-la-palabra-que-la-nombra-1976.jpg,Conceptual Art,installation,,Picture frame,,,,
https://www.wikiart.org/en/ion-pacea/natur-static-cu-smochine,,,,https://uploads5.wikiart.org/images/ion-pacea/natur-static-cu-smochine.jpg!Large.jpg,Post-Impressionism,still life,,Fruit|Pitcher,,,,
https://www.wikiart.org/en/philip-guston/last-piece-1958,1958,,1958,https://uploads8.wikiart.org/images/philip-guston/last-piece-1958.jpg,Abstract Expressionism,abstract,,Tree|Rock|Geological phenomenon|Formation,board|gouache,,,
https://www.wikiart.org/en/zdzislaw-beksinski/untitled-581,,,,https://uploads0.wikiart.org/images/zdislav-beksinski/untitled-64.jpg!Large.jpg,Surrealism,symbolic painting,,allegories-and-symbols|monuments-and-statues,,,,
