url,Create Date,Create Location,Date,image_url,Style,Genre,tags,Media,Location,Theme,Period,Series
https://www.wikiart.org/en/giacomo-manzu/amanti-1978,1978,,1978,https://uploads4.wikiart.org/images/giacomo-manzu/amanti-1978.jpg,Realism,sculpture,Statue|Classical sculpture|Standing|Figurine|Stone carving|Carving|Bronze sculpture,,,,,
https://www.wikiart.org/en/alfred-sisley/edge-of-fountainbleau-forest-june-morning-1885,1885,,1885,https://uploads4.wikiart.org/images/alfred-sisley/edge-of-fountainbleau-forest-june-morning-1885.jpg!Large.jpg,Impressionism,landscape,forests-and-trees|Tree|Natural environment|Natural landscape|Shrubland|Plant community|Sky|Plant,oil|canvas,,,,
https://www.wikiart.org/en/aristarkh-lentulov/portrait-of-m-p-lentulova,,,,https://uploads6.wikiart.org/images/aristarkh-lentulov/portrait-of-m-p-lentulova.jpg!Large.jpg,Post-Impressionism,portrait,female-portraits,,,,,
https://www.wikiart.org/en/arshile-gorky/woman-with-necklace-marquette,1936,,1936,https://uploads5.wikiart.org/images/arshile-gorky/woman-with-necklace-marquette.jpg!Large.jpg,Post-Impressionism,portrait,female-portraits|Head|Lady|Cheek|Chin,,,,,
https://www.wikiart.org/en/henri-matisse/acanthus-moroccan-landscape-1912,1912,,1912,https://uploads7.wikiart.org/00137/images/henri-matisse/acanthus-moroccan-landscape-1912.jpg!Large.jpg,Expressionism,landscape,Plant|Botany|Tree,,,,,
https://www.wikiart.org/en/geta-bratescu/the-smile-1978,1978,,1978,https://uploads7.wikiart.org/images/geta-bratescu/the-smile-1978.jpg,Conceptual Art,photo,Facial expression|Text|Smile,,,,,
https://www.wikiart.org/en/karl-bryullov/bivouac-on-a-crater-vesuvius,1824,,1824,https://uploads7.wikiart.org/images/karl-bryullov/bivouac-on-a-crater-vesuvius(1).jpg!Large.jpg,Romanticism,genre painting,bivouac|Vesuvio|leisure-and-sleep,,,,,
https://www.wikiart.org/en/eastman-johnson/self-portrait,,,,https://uploads0.wikiart.org/images/eastman-johnson/self-portrait.jpg!Large.jpg,Realism,portrait,Gentleman|Beard,,,,,
https://www.wikiart.org/en/albin-egger-lienz/study-to-the-resurrection-1923,1923,,1923,https://uploads3.wikiart.org/00151/images/albin-egger-lienz/egger-lienz-studie-zur-auferstehung-1923.jpg!Large.jpg,Expressionism|Realism,sketch and study,Face|Sketch|Nose|Head|Chin|Jaw|Forehead|Line,,,,,
https://www.wikiart.org/en/james-brooks/untitled-1952,1952,,1952,https://uploads5.wikiart.org/images/james-brooks/untitled-1952.jpg,Abstract Expressionism,,,,,,,
https://www.wikiart.org/en/john-constable/boat-building-1815,1815,,1815,https://uploads4.wikiart.org/images/john-constable/boat-building-1815.jpg!Large.jpg,Romanticism,genre painting,countryside|rivers-and-waterfalls|forests-and-trees|Waterway|Tree|Boat|Bank|Canal|Watercraft rowing|Vehicle,oil|canvas,"Victoria and Albert Museum (V&A), London, UK",,,
https://www.wikiart.org/en/eyvind-earle/black-silken-hair-1995,1995,,1995; United States|1995,https://uploads6.wikiart.org/images/eyvind-earle/black-silken-hair-1995.jpg!Large.jpg,Magic Realism,nude painting (nu),female-nude|Shoulder|Arm|Flesh|Joint|Human body,,,,,
https://www.wikiart.org/en/eugene-boudin/the-saint-simeon-farm-1860,1860,,1860; France|1860,https://uploads2.wikiart.org/images/eugene-boudin/the-saint-simeon-farm-1860.jpg!Large.jpg,Realism,landscape,cottages-and-farmhouses|gardens-and-parks|Sky,pastel,Private Collection,,,
https://www.wikiart.org/en/mary-cassatt/portrait-of-mie-louise-durand-ruel-1911,1911,,1911,https://uploads5.wikiart.org/images/mary-cassatt/portrait-of-mie-louise-durand-ruel-1911.jpg!Large.jpg,Impressionism,portrait,animals|female-portraits|dogs|Hair|Lady|Hairstyle|Eye|Brown hair|Iris|Canidae,pastel|paper,Private Collection,,,
https://www.wikiart.org/en/pierre-bonnard/misia-with-a-pink-corsage-1908,1908,,1908,https://uploads7.wikiart.org/images/pierre-bonnard/misia-with-a-pink-corsage-1908.jpg!Large.jpg,Post-Impressionism,portrait,Lady,oil|canvas,Private Collection,,,
https://www.wikiart.org/en/vincent-van-gogh/part-of-a-portrait-of-anthon-van-rappard-1884,1884,Nunen / Nuenen,"Nunen / Nuenen|1884; Nunen / Nuenen, Netherlands|1884",https://uploads6.wikiart.org/images/vincent-van-gogh/part-of-a-portrait-of-anthon-van-rappard-1884.jpg!Large.jpg,Realism,sketch and study,male-portraits|Hair|Face|Forehead|Head|Eyebrow|Hairstyle|Nose,pencil|paper,"Van Gogh Museum, Amsterdam, Netherlands",,,
https://www.wikiart.org/en/camille-corot/gypsy-with-a-basque-tamborine,1860,,1860,https://uploads5.wikiart.org/images/camille-corot/gypsy-with-a-basque-tamborine.jpg!Large.jpg,Romanticism,portrait,female-portraits|gypsies|Lady,oil|canvas,Private Collection,Other people,,
https://www.wikiart.org/en/vasile-dobrian/female-brick-mason,,,,https://uploads3.wikiart.org/images/vasile-dobrian/female-brick-mason.jpg,Social Realism|Expressionism,genre painting,Cook|Bricklayer,,,,,
https://www.wikiart.org/en/rene-magritte/copper-handcuffs-1931,1931,Brussels,"1931; Brussels, Belgium|Brussels|1931",https://uploads0.wikiart.org/images/rene-magritte/copper-handcuffs-1931(1).jpg!Large.jpg,Surrealism,symbolic painting,Statue|Figurine|Abdomen|Trunk,oil|plaster,"Royal Museums of Fine Arts of Belgium, Brussels, Belgium",,Brussels pre-war and war years,
https://www.wikiart.org/en/ivan-aivazovsky/sunset-mill,,,,https://uploads7.wikiart.org/images/ivan-aivazovsky/sunset-mill.jpg!Large.jpg,Romanticism,landscape,sunrise-and-sunset|mills-and-windmills|fields-and-plains|Sky|Atmosphere,,,,,
https://www.wikiart.org/en/samuel-peploe/the-ginger-jar-1926,1926,,1926,https://uploads4.wikiart.org/images/samuel-peploe/the-ginger-jar-1926.jpg!Large.jpg,Post-Impressionism,still life,Still life photography,,,,,
https://www.wikiart.org/en/roy-lichtenstein/magnifying-glass-1963,1963,,1963,https://uploads2.wikiart.org/images/roy-lichtenstein/magnifying-glass-1963(1).jpg,Pop Art,still life,instruments-and-mechanisms|Frying pan|Circle,oil|canvas,"Kunstmuseum Liechtenstein, Vaduz, Liechtenstein",,,
https://www.wikiart.org/en/frida-kahlo/self-portrait-1948,1948,,1948,https://uploads4.wikiart.org/images/magdalena-carmen-frieda-kahlo-y-calder%C3%B3n-de-rivera/self-portrait-1948.jpg!Large.jpg,Naïve Art (Primitivism),self-portrait,famous-people|Frida-Kahlo|female-portraits|Forehead,oil|masonite,"Samuel Fastlicht Collection, Mexico City, Mexico",,,
https://www.wikiart.org/en/ohara-koson/fishing-boats-at-sea-1910,1910,,1910,https://uploads8.wikiart.org/images/ohara-koson/fishing-boats-at-sea-1910.jpg!Large.jpg,Shin-hanga,marina,seas-and-oceans|Boat|Vehicle|Sailboat|Watercraft,paper,,,,
https://www.wikiart.org/en/richard-deacon/art-for-other-people-12-1984,1984,,1984,https://uploads4.wikiart.org/images/richard-deacon/art-for-other-people-12-1984.jpg,Post-Minimalism,sculpture,Footwear,,,,,
https://www.wikiart.org/en/mark-rothko/archaic-idol,1945,,1945,https://uploads4.wikiart.org/images/mark-rothko/archaic-idol.jpg!Large.jpg,Surrealism,abstract,Text|Line,,,,,
https://www.wikiart.org/en/jean-auguste-dominique-ingres/papal-ceremony-in-st-peter-s-in-rome-under-the-canopy-of-bernini,,,,https://uploads2.wikiart.org/images/jean-auguste-dominique-ingres/papal-ceremony-in-st-peter-s-in-rome-under-the-canopy-of-bernini.jpg!Large.jpg,Neoclassicism,religious painting,Christianity|Papal-ceremony|Holy places,,,,,
https://www.wikiart.org/en/beauford-delaney/untitled-fang-crow-and-fruit-1945,1945,,1945,https://uploads0.wikiart.org/00315/images/beauford-delaney/untitled-fang-crow-and-fruit-1945.jpg!Large.jpg,Expressionism,still life,Still life photography|Vegetarian food,,,,,
https://www.wikiart.org/en/pablo-picasso/bust-of-woman-1907,1907,,1907,https://uploads3.wikiart.org/images/pablo-picasso/bust-of-woman-1907.jpg!Large.jpg,Expressionism|Naïve Art (Primitivism),portrait,female-portraits|Face|Head|Nose|Cheek|Chin,oil|canvas,,,African Period,
