url,Create Date,Create Location,Date,image_url,Style,Genre,tags,Media,Location,Period,Series,Theme
https://www.wikiart.org/en/carolus-duran/alphonse-cherfils-1871,1871,,1871,https://uploads4.wikiart.org/00120/images/carolus-duran/alphonse-cherfils-1871.jpg,Realism,portrait,Hair|Moustache|Chin|Facial hair|Beard|Gentleman,,,,,
https://www.wikiart.org/en/wassily-kandinsky/orange-1923,1923,,1923; Germany|1923,https://uploads8.wikiart.org/images/wassily-kandinsky/orange-1923.jpg,Abstract Art,abstract,,lithography|paper,"Museum of Modern Art (MoMA), New York City, NY, US",,,
https://www.wikiart.org/en/john-henry-twachtman/waterside-scene,1889,,1889,https://uploads7.wikiart.org/images/john-henry-twachtman/waterside-scene.jpg!Large.jpg,Impressionism,cityscape,boats-and-ships|Boat|Schooner|Vehicle|Watercraft,watercolor,,,,
https://www.wikiart.org/en/eyvind-earle/santa-fe-trail-new-serigrap-2000,2000,,2000|2000; United States,https://uploads7.wikiart.org/images/eyvind-earle/santa-fe-trail-new-serigrap-2000.jpg!Large.jpg,Magic Realism,landscape,mountains|Sky|Nature|Mountain|Mountainous landforms|Natural landscape|Atmospheric phenomenon|Mountain range|Highland|Atmosphere|Hill,,,,,
https://www.wikiart.org/en/jean-leon-gerome/dante-and-virgil-in-hell,,,,https://uploads3.wikiart.org/images/jean-leon-gerome/dante-and-virgil-in-hell.jpg!Large.jpg,Romanticism,literary painting,famous-people|Virgil|Dante-Alighieri|Sky,oil|canvas,,,,
https://www.wikiart.org/en/dimitris-mytaras/female-figure-1,,,,https://uploads2.wikiart.org/images/dimitris-mytaras/female-figure-1.jpg,Expressionism,portrait,,,,,,
https://www.wikiart.org/en/alexander-orlowski/horsemen-1816,1816,,1816,https://uploads3.wikiart.org/images/alexander-orlowski/horsemen-1816.jpg!Large.jpg,Romanticism,genre painting,castles-and-fortresses|horsemen|Horse|Rein|Conquistador|Bridle,,,,,
https://www.wikiart.org/en/paul-klee/groynes-1925,1925,,1925,https://uploads5.wikiart.org/images/paul-klee/groynes-1925(1).jpg!Large.jpg,Cubism,marina,boats-and-ships|Orange,board|ink|watercolor|pen,Private Collection,Bauhaus,,
https://www.wikiart.org/en/boris-kustodiev/mercahnt-s-wife-drinking-tea-1923,1923,,1923,https://uploads2.wikiart.org/images/boris-kustodiev/mercahnt-s-wife-drinking-tea-1923.jpg!Large.jpg,Art Nouveau (Modern),portrait,female-portraits|Fruit,,,,,
https://www.wikiart.org/en/jamie-wyeth/slayton-house-1968,1968,,1968,https://uploads0.wikiart.org/images/jamie-wyeth/slayton-house-1968.jpg,Contemporary Realism,landscape,houses-and-buildings|House|Building|Home,watercolor|paper,,,,
https://www.wikiart.org/en/francisco-toledo/murcielago-2005,2005,,2005,https://uploads2.wikiart.org/images/francisco-toledo/murcielago-2005.jpg,Surrealism,symbolic painting,T-shirt,,,,,
https://www.wikiart.org/en/erol-akyavas/untitled-1959,1959,,1959,https://uploads6.wikiart.org/00105/images/erol-akyavas/unt-tled.jpg!Large.jpg,Tachisme,,Text,,,,,
https://www.wikiart.org/en/yu-youhan/untitled-mao-marilyn,,,,https://uploads1.wikiart.org/images/yu-youhan/untitled-mao-marilyn.jpg!Large.jpg,Pop Art,figurative,Face|Head,,,,,
https://www.wikiart.org/en/willem-de-kooning/woman-red-hair-large-mouth-large-foot,1965,,1965,https://uploads.wikiart.org/Content/images/FRAME-600x480.jpg,Abstract Expressionism,figurative,,,,,,
https://www.wikiart.org/en/yves-klein/wind-of-voyage-1961,1961,,1961,https://uploads0.wikiart.org/images/yves-klein/wind-of-voyage-1961.jpg,Nouveau Réalisme,abstract,Pattern|Circle,,,,,
https://www.wikiart.org/en/leonor-fini/greed-1929,1929,,1929,https://uploads1.wikiart.org/00452/images/leonor-fini/1929la-gourmandise.jpg,,,,,,,,
https://www.wikiart.org/en/jo-baer/dusk-bands-and-end-points-2012,2012,,2012,https://uploads8.wikiart.org/00389/images/jo-baer/dusk-bands-and-end-points.jpg!Large.jpg,,,,,,,,
https://www.wikiart.org/en/pasquale-celommi/tersicore-1910,1910,,1910,https://uploads6.wikiart.org/00335/images/pasquale-celommi/pasquale-celommi-tersicore-celommip-19.jpg,Academicism,nude painting (nu)|mythological painting,,,,,,
https://www.wikiart.org/en/nadar/marie-labounskaya-dans-les-bicyclistes-en-voyage-a-la-gaite-1893,1893,,1893,https://uploads8.wikiart.org/00335/images/nadar/mme-labounskaya-cropped.jpg!Large.jpg,Pictorialism,photo,,photography,,,,
https://www.wikiart.org/en/henri-martin/view-of-puy-l-eveque-2,,,,https://uploads6.wikiart.org/images/henri-martin/view-of-puy-l-eveque-2.jpg!Large.jpg,Impressionism,cityscape,houses-and-buildings|rivers-and-waterfalls|boats-and-ships|cliffs-and-rocks|Waterway|Bank,,,,,
https://www.wikiart.org/en/guillaume-seignac/psyche-with-putti,,,,https://uploads4.wikiart.org/00182/images/guillaume-seignac/psyche-with-putti-by-guillaume-seignac.jpg!Large.jpg,Academicism,mythological painting,Lady|Fictional character|Mythology,,,,,
https://www.wikiart.org/en/william-merritt-chase/nude-resting,1888,,1888,https://uploads5.wikiart.org/images/william-merritt-chase/nude-resting.jpg!Large.jpg,Impressionism,nude painting (nu),female-nude,pastel,Private Collection,,,
