url,Create Date,Create Location,Date,image_url,Style,Series,Genre,tags,Media,Location,Theme,Period
https://www.wikiart.org/en/james-turrell/selene-1984,1984,,1984,https://uploads5.wikiart.org/00210/images/james-turrell/selene-19841-1.jpg!Large.jpg,Light and Space,Dark Spaces,installation,Darkness|Light|Sky|Atmosphere,,,,
https://www.wikiart.org/en/lenore-tawney/in-fields-of-light-1975,1975,,1975,https://uploads7.wikiart.org/images/lenore-tawney/in-fields-of-light-1975.jpg,Post-Minimalism,,tapestry,Orange|Rectangle,,,,
https://www.wikiart.org/en/george-stefanescu/still-life-with-fish-1957,1957,Bucharest,"1957|1957; Bucharest, Romania|Bucharest",https://uploads3.wikiart.org/images/george-stefanescu-ramnic/still-life-with-fish-1957.jpg!Large.jpg,Post-Impressionism,,still life,fruits-and-vegetables|fish|Still life photography,oil|canvas,,,
https://www.wikiart.org/en/friedrich-vordemberge-gildewart/composition-no-199,,,,https://uploads3.wikiart.org/images/friedrich-vordemberge-gildewart/composition-no-199.jpg!Large.jpg,Concretism,,abstract,Violet|Product|Line,,,,
https://www.wikiart.org/en/john-william-waterhouse/miss-betty-pollock-1911,1911,,1911,https://uploads0.wikiart.org/images/john-william-waterhouse/miss-betty-pollock-1911.jpg!Large.jpg,Romanticism,,portrait,female-portraits|Lady,oil|canvas,,,
https://www.wikiart.org/en/berthe-morisot/young-woman-in-a-blue-blouse-1,1891,,1891,https://uploads7.wikiart.org/images/berthe-morisot/young-woman-in-a-blue-blouse-1.jpg!Large.jpg,Impressionism,,portrait,female-portraits|Lady,oil|canvas,Private Collection,,
https://www.wikiart.org/en/vincent-van-gogh/view-of-arles-with-trees-in-blossom-1888,1888,"Arles, Bouches-du-Rhône","1888|1888; Arles, Bouches-du-Rhône, France|Arles, Bouches-du-Rhône",https://uploads1.wikiart.org/images/vincent-van-gogh/view-of-arles-with-trees-in-blossom-1888.jpg!Large.jpg,Post-Impressionism,,landscape,spring|gardens-and-parks|Tree|Natural landscape|Branch|Woody plant|Grass,oil|canvas,,,
https://www.wikiart.org/en/milton-avery/white-wave-1954,1954,,1954,https://uploads8.wikiart.org/images/milton-avery/white-wave-1954.jpg!Large.jpg,Expressionism|Abstract Art,,marina,,,,,
https://www.wikiart.org/en/robert-mangold/study-attic-series-viii-1990,1990,,1990,https://uploads5.wikiart.org/images/robert-mangold/study-attic-series-viii-1990.jpg!Large.jpg,Minimalism,,abstract,Line,,,,
https://www.wikiart.org/en/aurel-cojan/chimeras-in-the-workshop,,,,https://uploads7.wikiart.org/images/aurel-cojan/chimeras-in-the-workshop.jpg!Large.jpg,Expressionism,,interior,Stock photography,,,,
https://www.wikiart.org/en/gerhard-richter/olberg-1986,1986,,1986,https://uploads0.wikiart.org/00283/images/gerhard-richter/lberg-1986.jpg!Blog.jpg,Abstract Expressionism,,abstract,,,,,
https://www.wikiart.org/en/david-wilkie/the-defense-of-saragossa,,,,https://uploads0.wikiart.org/00380/images/david-wilkie/the-defense-of-saragossa-david.jpg!Large.jpg,Romanticism,,history painting,,,,,
https://www.wikiart.org/en/paul-nash/sunrise-inverness-copse-1918,1918,,1918,https://uploads5.wikiart.org/00269/images/paul-nash/large-000000-2.jpg,Expressionism,,landscape,,chalk|ink|watercolor|paper,"Imperial War Museum, London, UK",WWI,
https://www.wikiart.org/en/wen-ying-tsai/living-fountain-1988,1988,,1988,https://uploads5.wikiart.org/images/wen-ying-tsai/living-fountain-1988.jpg!Large.jpg,Kinetic Art|Cyber Art,,sculpture,Fountain|Light|Water|Water feature|Violet,,,,
https://www.wikiart.org/en/jacek-yerka/dragon-s-pleasure-2011,2011,,2011|2011; Poland,https://uploads5.wikiart.org/images/jacek-yerka/dragon-s-pleasure-2011.jpg!Large.jpg,Surrealism,,symbolic painting,roads-and-vehicles|beasts-and-dragons|Dragon|Sky|Dinosaur,,,,
https://www.wikiart.org/en/jannis-kounellis/untitled-1960,1960,,1960,https://uploads0.wikiart.org/images/jannis-kounellis/untitled-1960.jpg,Post-Minimalism,,abstract,Font|Text|Line,,,,
https://www.wikiart.org/en/josef-kriehuber/archduchess-sophie-of-austria-princess-of-bavaria-1849,1849,,1849,https://uploads6.wikiart.org/00326/images/josef-kriehuber/josef-kriehuber-erzherzogin-sophie-von-sterreich-prinzessin-von-bayern-1849.jpg!Large.jpg,Biedermeier,,portrait,,lithography,,,
https://www.wikiart.org/en/ben-shahn/erinys-1957,1957,,1957,https://uploads0.wikiart.org/images/ben-shahn/not-detected-274587.jpg!Large.jpg,Expressionism,,illustration,"Greek-and-Roman-Mythology|designs-and-sketches|Edward-Dahlberg-""The-Sorrows-of-Priapus""",,,,
https://www.wikiart.org/en/vasily-polenov/laguna-venice-1897,1897,,1897,https://uploads4.wikiart.org/images/vasily-polenov/laguna-venice-1897.jpg!Large.jpg,Realism,,marina,Venice|boats-and-ships|seas-and-oceans|islands-and-bays,,,,
https://www.wikiart.org/en/paul-ranson/untitled-29,,,,https://uploads1.wikiart.org/00266/images/paul-ranson/display-image-38.jpg!Large.jpg,Post-Impressionism,,genre painting,,,,,
https://www.wikiart.org/en/leon-bakst/big-philanthropic-puppet-bazaar-st-petersburg-1899-1,1899,,1899,https://uploads7.wikiart.org/images/leon-bakst/big-philanthropic-puppet-bazaar-sankt-petersburg-1899.jpg,Art Nouveau (Modern),,poster,postcards,lithography,,,
https://www.wikiart.org/en/kees-van-dongen/la-gitane-la-curieuse-1911,1911,,1911,https://uploads4.wikiart.org/images/kees-van-dongen/la-gitane-la-curieuse-1911.jpg!Large.jpg,Fauvism,,portrait,Lady|Cheek|gypsies,,,,
https://www.wikiart.org/en/william-blake/the-body-of-abel-found-by-adam-eve,1825,,1825,https://uploads1.wikiart.org/images/william-blake/the-body-of-abel-found-by-adam-eve.jpg!Large.jpg,Symbolism,,religious painting,Christianity|Adam|Abel|Mythology,,,,
https://www.wikiart.org/en/gerda-wegener/dress-with-hand-embroidered-ruffles-1914,1914,,1914,https://uploads6.wikiart.org/00333/images/gerda-wegener/dress-with-hand-embroidered-ruffles-1914.png!Large.png,Art Nouveau (Modern),,illustration,,,,,
https://www.wikiart.org/en/fyodor-bronnikov/consecration-of-the-herm-1874,1874,,1874,https://uploads8.wikiart.org/images/fyodor-bronnikov/consecration-of-the-herm-1874.jpg!Large.jpg,Academicism,,genre painting,group-portraits|Greek-and-Roman-Mythology|gods-and-goddesses|monuments-and-statues|Mythology|Adaptation,,,,
https://www.wikiart.org/en/victor-borisov-musatov/young-girl-on-the-balcony-1900,1900,,1900|1900; Russian Federation,https://uploads6.wikiart.org/images/victor-borisov-musatov/young-girl-on-the-balcony-1900.jpg!Large.jpg,Impressionism,,genre painting,female-portraits|leisure-and-sleep|Lady,tempera|canvas,,,
https://www.wikiart.org/en/oleksa-novakivskiy/leda,,,,https://uploads6.wikiart.org/00318/images/oleksa-novakivskiy/oleksa-novakivsky-28.jpg,Post-Impressionism|Art Nouveau (Modern),,mythological painting,Leda|Jupiter/Zeus|Leda-and-the-Swan,,,,
https://www.wikiart.org/en/gustav-klimt/musik-lithograph-1901,1901,,1901,https://uploads5.wikiart.org/images/gustav-klimt/musik-lithograph-1901.jpg!Large.jpg,Art Nouveau (Modern),,allegorical painting,allegories-and-symbols,lithography,,,Golden phase
https://www.wikiart.org/en/odilon-redon/everywhere-eyeballs-are-aflame-1888,1888,,1888,https://uploads1.wikiart.org/images/odilon-redon/everywhere-eyeballs-are-aflame-1888.jpg!Large.jpg,Symbolism,Temptation of Saint Anthony (1st series),symbolic painting,allegories-and-symbols|flying|parts-of-human-body|Eye|Eyebrow|Iris|Eyelash|Sketch|Organ|Nose|monochrome|1880s paintings from France,lithography|paper,"Art Institute of Chicago, Chicago, IL, US",,
https://www.wikiart.org/en/george-stubbs/horse-attacked-by-a-lion,1762,,1762,https://uploads0.wikiart.org/images/george-stubbs/horse-attacked-by-a-lion.jpg!Large.jpg,Romanticism,,wildlife painting,animals|horses|lions|Mythology|Fictional character|Mythical creature,oil|canvas,"Yale Centre For British Art (Yale University), New Haven, CT, US",,
https://www.wikiart.org/en/winslow-homer/bass-fishing-florida,,,,https://uploads4.wikiart.org/images/winslow-homer/bass-fishing-florida.jpg,Realism,,genre painting,boats-and-ships|seas-and-oceans|hunting-and-racing|Water,watercolor,"Yale University Art Gallery (Yale University), New Haven, CT, US",,
https://www.wikiart.org/en/konstantin-korovin/a-nothern-idyll-1886,1886,,1886,https://uploads1.wikiart.org/images/konstantin-korovin/a-nothern-idyll-1886.jpg!Large.jpg,Impressionism,,genre painting,,oil|canvas,"Tretyakov Gallery, Moscow, Russia",,
https://www.wikiart.org/en/renato-guttuso/la-strada-1956,1956,,1956,https://uploads2.wikiart.org/images/renato-guttuso/la-strada-1956(1).jpg,Social Realism,,genre painting,Community|Youth|Event|Fun|Crowd,,,,
https://www.wikiart.org/en/isaac-israels/the-transport-of-the-colonials-from-rotterdam-1884,1884,,1884,https://uploads8.wikiart.org/00326/images/isaac-israels/het-transport-der-kolonialen-uit-rotterdam-objectnr-10976-a-b.JPG!Large.JPG,Realism,,genre painting,,,,,
https://www.wikiart.org/en/shadi-ghadirian/be-colourful-2006,2006,,2006,https://uploads3.wikiart.org/00333/images/shadi-ghadirian/be-colourful-2006.png!Large.png,Contemporary|Feminist Art,,photo,,,,,
https://www.wikiart.org/en/jan-matejko/peter-the-hermit,,,,https://uploads8.wikiart.org/images/jan-matejko/peter-the-hermit.jpg!Large.jpg,Romanticism,,portrait,male-portraits|famous-people|Peter-the-Hermit|Conquistador,,,,
https://www.wikiart.org/en/giovanni-segantini/il-naviglio-a-ponte-san-marco-1880,1880,,1880,https://uploads2.wikiart.org/00144/images/giovanni-segantini/il-naviglio-a-ponte-san-marco-giovanni-segantini.jpg!Large.jpg,Impressionism,,genre painting|cityscape,Water|Sky|Waterway|Reflection|Bridge|Canal|Cloud|1880s paintings from Italy,,,,
https://www.wikiart.org/en/vasily-polenov/backyard-the-village-of-turgenev-1892,1892,,1892,https://uploads5.wikiart.org/images/vasily-polenov/backyard-the-village-of-turgenev-1892.jpg!Large.jpg,Realism,,landscape,cottages-and-farmhouses|folk-architecture|Tree|Water,,,,
https://www.wikiart.org/en/currier-and-ives/the-national-game-three-outs-and-one-run-1860,1860,,1860,https://uploads6.wikiart.org/images/currier-and-ives/the-national-game-three-outs-and-one-run-1860.jpg!Large.jpg,Romanticism,,caricature,,,,,
https://www.wikiart.org/en/claude-monet/the-seine-estuary-at-honfluer,1865,,1865,https://uploads4.wikiart.org/images/claude-monet/the-seine-estuary-at-honfluer.jpg!Large.jpg,Impressionism,,cityscape,Boat|Vehicle|Sailing|Watercraft|Galiot,,,,
https://www.wikiart.org/en/bela-czobel/bela-czobel-young-girl-reading,,,,https://uploads6.wikiart.org/00468/images/bela-czobel/bela-czobel-young-girl-reading.png!Large.png,,,,,,,,
https://www.wikiart.org/en/aubrey-beardsley/at-the-first-coner,1895,,1895,https://uploads6.wikiart.org/images/aubrey-beardsley/at-the-first-coner.jpg!Large.jpg,Art Nouveau (Modern),,design,designs-and-sketches|Text|Font|Botany,,,,
https://www.wikiart.org/en/giovanni-anselmo/linea-terra-1970,1970,,1970,https://uploads3.wikiart.org/images/giovanni-anselmo/linea-terra-1970.jpg,Minimalism,,abstract,Line|Shelf|Table|Furniture,,,,
https://www.wikiart.org/en/alfred-freddy-krupa/varazdin-at-night-in-situ-1997,1997,,1997|1997; Croatia,https://uploads4.wikiart.org/00203/images/alfred-freddy-krupa/vara-din.jpg!Large.jpg,New European Painting|Minimalism,,cityscape,Steeple,indian ink,,,
https://www.wikiart.org/en/jacek-yerka/ammonite-1989,1989,,1989; Poland|1989,https://uploads5.wikiart.org/images/jacek-yerka/ammonite-1989.jpg!Large.jpg,Surrealism,,symbolic painting,islands-and-bays|mountains|Tree|Sky,,,,
https://www.wikiart.org/en/carl-larsson/garden-in-grez-1883,1883,,1883; Sweden|1883,https://uploads6.wikiart.org/images/carl-larsson/garden-in-grez-1883(1).jpg!Large.jpg,Impressionism,,landscape,countryside|gardens-and-parks|Tree,oil,,,
https://www.wikiart.org/en/alberto-pereira/jesus,,,,https://uploads1.wikiart.org/00410/images/alberto-pereira/jesus-pretinho-ii.jpg!Large.jpg,Poster Art Realism|Street art,,poster|graffiti,,photography|print|assemblage|photomontage|paper,,,
