url,Create Date,Create Location,Date,image_url,Style,Period,Genre,Media,Location,tags,Series,Theme
https://www.wikiart.org/en/paul-gauguin/tree-in-the-farm-yard-1874,1874,,1874|1874; France,https://uploads1.wikiart.org/images/paul-gauguin/tree-in-the-farm-yard-1874.jpg!Large.jpg,Impressionism,Early works,landscape,oil|canvas,Private Collection,cottages-and-farmhouses|Tree,,
https://www.wikiart.org/en/utagawa-kuniyoshi/at-first-glance-he-looks-very-fiarce-but-he-s-really-a-nice-person,,,,https://uploads1.wikiart.org/images/utagawa-kuniyoshi/at-first-glance-he-looks-very-fiarce-but-he-s-really-a-nice-person.jpg!Large.jpg,Ukiyo-e,,portrait,,,male-portraits|Cheek|Forehead,,
https://www.wikiart.org/en/odilon-redon/head-of-orpheus-on-the-water-or-the-mystic-1880,1880,,1880,https://uploads4.wikiart.org/images/odilon-redon/head-of-orpheus-on-the-water-or-the-mystic-1880.jpg!Large.jpg,Symbolism,,symbolic painting,pencil|charcoal|paper,"Kröller-Müller Museum, Otterlo, Netherlands",allegories-and-symbols|Greek-and-Roman-Mythology|Hair|Head|1880s paintings from France,,
https://www.wikiart.org/en/anna-ostroumova-lebedeva/academy-of-arts-1922,1922,,1922; Russian Federation|1922,https://uploads6.wikiart.org/images/anna-ostroumova-lebedeva/academy-of-arts-1922.jpg,Art Nouveau (Modern),,cityscape,lithography,,streets-and-squares|moles-and-embankments|St.-Petersburg|Building,,
https://www.wikiart.org/en/alfred-wallis/three-masted-barque-with-three-small-ships,,,,https://uploads0.wikiart.org/images/alfred-wallis/three-masted-barque-with-three-small-ships.jpg!Large.jpg,Naïve Art (Primitivism),,marina,,,Vehicle|Boat|Watercraft|Galiot|Sailing ship|East indiaman|First-rate|Sailboat,,
https://www.wikiart.org/en/noma-bar/biker-for-mercedes-benz-2017,2017,,2017,https://uploads2.wikiart.org/00225/images/noma-bar/biker-for-mercedes-benz-1.jpg,Neo-Pop Art,,design,,,Nose|Bird,,
https://www.wikiart.org/en/paula-modersohn-becker/nursing-mother-and-child-1902,1902,,1902,https://uploads5.wikiart.org/images/paula-modersohn-becker/nursing-mother-and-child-1902.jpg!Large.jpg,Expressionism,,sketch and study,coal,,female-portraits|mother-and-child|children portraits|Sketch|Figure drawing|monochrome,,
https://www.wikiart.org/en/joaqu-n-sorolla/near-jaca,,,,https://uploads5.wikiart.org/images/joaquin-sorolla/near-jaca.jpg!Large.jpg,Impressionism,,landscape,oil|canvas,,cliffs-and-rocks,,
https://www.wikiart.org/en/jean-helion/accident-1979,1979,,1979,https://uploads4.wikiart.org/images/jean-helion/accident-1979.jpg,Cubism|Expressionism,,figurative,,,,,
https://www.wikiart.org/en/jan-matejko/sigmund-and-barbara-2,,,,https://uploads4.wikiart.org/images/jan-matejko/sigmund-and-barbara-2.jpg!Large.jpg,Romanticism,,genre painting,,,couples|Lady,,
https://www.wikiart.org/en/jimmy-ernst/hieroglyphics-1969,1969,,1969,https://uploads0.wikiart.org/images/jimmy-ernst/hieroglyphics-1969.jpg,Abstract Expressionism,,abstract,,,Pattern,,
