url,Create Date,Create Location,image_url,Date,Style,Genre,tags,Media,Location,Series,Period,Theme
https://www.wikiart.org/en/ivan-shishkin/polesye-1883,1883,,https://uploads6.wikiart.org/images/ivan-shishkin/polesye-1883.jpg!Large.jpg,1883,Realism,landscape,roads-and-vehicles|forests-and-trees|Polesye|Tree|Vehicle,,,,,
https://www.wikiart.org/en/ogata-gekko/nihon-hana-zue-1896-2,1896,,https://uploads4.wikiart.org/images/ogata-gekko/nihon-hana-zue-1896-2.jpg!Large.jpg,1896,Ukiyo-e,genre painting,Botany,,,,,
https://www.wikiart.org/en/man-ray/untitled-2,1915,,https://uploads7.wikiart.org/images/man-ray/untitled-2.jpg!Large.jpg,1915,Cubism,still life,,oil|canvas,,,,
https://www.wikiart.org/en/ferdinand-hodler/lumberjack-1910,1910,,https://uploads2.wikiart.org/images/ferdinand-hodler/lumberjack-1910.jpg,1910,Art Nouveau (Modern),genre painting,handwork,,,,,
https://www.wikiart.org/en/pierre-auguste-renoir/after-bathing-seated-female-nude,,,https://uploads7.wikiart.org/images/pierre-auguste-renoir/after-bathing-seated-female-nude.jpg!Large.jpg,,Impressionism,nude painting (nu),Mythology,oil|canvas,Private Collection,,,
https://www.wikiart.org/en/alfred-sisley/the-plain-of-veneux-view-of-sablons-1884,1884,,https://uploads7.wikiart.org/images/alfred-sisley/the-plain-of-veneux-view-of-sablons-1884.jpg!Large.jpg,1884,Impressionism,landscape,fields-and-plains|forests-and-trees|Tree|Grass family|Grass|Grassland,oil|canvas,Private Collection,,,
https://www.wikiart.org/en/ivan-vladimirov/lenin-and-stalin-in-the-summer-of-1917,,,https://uploads6.wikiart.org/images/ivan-vladimirov/lenin-and-stalin-in-the-summer-of-1917.jpg,,Socialist Realism,portrait,male-portraits|famous-people|Joseph-Stalin|Vladimir-Lenin,,,,,
https://www.wikiart.org/en/endre-balint/my-room-at-the-bindendorfs-1937,1937,,https://uploads6.wikiart.org/images/endre-balint/my-room-at-the-bindendorfs-1937.jpg!Large.jpg,1937,Expressionism,interior,Room,,,,,
https://www.wikiart.org/en/nuri-iyem/untitled-portrait-1,,,https://uploads1.wikiart.org/00164/images/nuri-iyem/nuri-iyem-1915-2005-portre-1.jpg,,Social Realism,portrait,female-portraits|Face|Head|Cheek|Nose|Chin|Forehead,oil|fiberboard,,,,
https://www.wikiart.org/en/evgeniy-evgenevich/caucasian-still-life-1918,1918,,https://uploads7.wikiart.org/00149/images/evgeniy-evgenevich/dsc01104.jpg!Large.jpg,1918,,still life,Still life photography|Jug,oil,,,,
https://www.wikiart.org/en/minas-avetisyan/valya,,,https://uploads8.wikiart.org/00407/images/minas-avetisyan/21469-b.jpg!Large.jpg,,Fauvism,,,oil,,,,
https://www.wikiart.org/en/niko-pirosmani/bear-with-her-cubs,,,https://uploads7.wikiart.org/images/niko-pirosmani/bear-with-her-cubs(1).jpg!Large.jpg,,Naïve Art (Primitivism),wildlife painting,bears|Mammal|Elephant|sheep|Terrestrial animal|Elephants and Mammoths|Wildlife,oil|cardboard,"Niko Pirosmanashvili Museum, Mirzaani, Georgia",,,
https://www.wikiart.org/en/erro/le-mirroir-2007,2007,,https://uploads8.wikiart.org/images/erro/le-mirroir-2007.jpg,2007,Pop Art,figurative,Graphic design,,,,,
