url,Create Date,Create Location,Date,image_url,Style,Genre,Media,Location,tags,Series,Period,Theme,Share
https://www.wikiart.org/en/pierre-bonnard/picking-cherries-1946,1946,,1946,https://uploads7.wikiart.org/images/pierre-bonnard/picking-cherries-1946.jpg!Large.jpg,Post-Impressionism,genre painting,oil|canvas,Private Collection,,,,,
https://www.wikiart.org/en/william-sidney-cooper/cattle-on-a-bridge-kent-1897,1897,,1897,https://uploads0.wikiart.org/00315/images/william-sidney-cooper/cattle-on-a-bridge-kent-1897.jpg!Large.jpg,Realism,landscape,,,,,,,
https://www.wikiart.org/en/ilya-mashkov/still-life-with-loaves-of-bread-1912,1912,,1912,https://uploads2.wikiart.org/images/ilya-mashkov/still-life-with-loaves-of-bread-1912.jpg!Large.jpg,Fauvism,still life,oil|canvas,,food-and-beverages|Food,,,,
https://www.wikiart.org/en/m-c-escher/scholastica-flying-witch,1931,,1931,https://uploads6.wikiart.org/images/m-c-escher/scholastica-flying-witch.jpg!Large.jpg,Expressionism,illustration,,,"witches|flying|J.Walch. ""De-vreeselijke-avonturen-van-Scholastica""|rooftops|Fiction|Comics|Fictional character",De vreeselijke avonturen van Scholastica,,,
https://www.wikiart.org/en/elina-brotherus/for-sylvia-plath-2016,2016,,2016,https://uploads8.wikiart.org/00300/images/elina-brotherus/for-sylvia-plath.jpg!Large.jpg,Contemporary,photo,photography,,Furniture,The Baldessari Assignments (2016),,,
https://www.wikiart.org/en/thomas-eakins/perspective-drawing-for-baseball-players-practicing,,,,https://uploads0.wikiart.org/images/thomas-eakins/perspective-drawing-for-baseball-players-practicing.jpg!Large.jpg,Realism,sketch and study,,,male-portraits|designs-and-sketches|Sketch|Line|Standing,,,,
https://www.wikiart.org/en/oleksa-novakivskiy/moya-muza-portret-druzhini,,,,https://uploads0.wikiart.org/00292/images/oleksa-novakivskiy/art-lviv-online-oleksa-novakivskij-moia-muzaportret-druzhyny.jpg,Post-Impressionism,portrait,oil,,,,,,
https://www.wikiart.org/en/ferdinand-hodler/the-angry-one,,,,https://uploads1.wikiart.org/images/ferdinand-hodler/the-angry-one.jpg!Large.jpg,Realism,portrait,,"Kunstmuseum Basel, Basel, Switzerland",male-portraits|characters-and-emotions,,,,
https://www.wikiart.org/en/camille-pissarro/the-mill-at-la-roche-goyon,,,,https://uploads5.wikiart.org/images/camille-pissarro/the-mill-at-la-roche-goyon.jpg!Large.jpg,Realism,landscape,oil|canvas,Private Collection,Tree|Tints and shades|House|Sky,,,,
https://www.wikiart.org/en/max-bill/1-4-um-excentrum-iv-1969,1969,,1969,https://uploads3.wikiart.org/images/max-bill/1-4-um-excentrum-iv-1969.jpg,Concretism,abstract,,,Line|Flag,,,,
https://www.wikiart.org/en/alfred-freddy-krupa/one-day-en-plein-air-the-ozalj-castle-2004,2004,,2004|2004; Croatia,https://uploads7.wikiart.org/00250/images/alfred-freddy-krupa/2515-1.jpg!Large.jpg,Contemporary Realism,architecture|sketch and study,watercolor,,,,,,
